tag,n,d,metric,filter,sel_target,sel_actual,cand,baseline,graph,mode,M,gamma,M_beta,ef,k,recall,qps,p50_us,p95_us,p99_us,max_us,mean_us,ndis,nodes_visited,first_hop,second_hop,sel_checks,accepted,rejected,hops,results_returned,build_ms,graph_bytes,avg_deg0,max_deg0
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,F_exact,exact,EXACT,16,0,0,0,10,1.0000,227.3,4392.25,4511.92,4528.38,4538.62,4398.87,50000,0,0,0,100000,0,0,0,10,0.0,0,0.0,0
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,A_std_standard,std,STANDARD,16,1,32,50,10,0.8890,14228.3,70.08,83.58,127.46,128.46,70.28,1037,1037,1037,0,1037,0,0,59,10,11836.8,14033032,24.5,32
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,B_std_acorn1,std,ACORN,16,1,32,50,10,0.8540,6511.2,152.88,216.62,235.21,239.46,153.58,1038,923,598,5131,5730,2957,2773,0,10,11836.8,14033032,24.5,32
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,D_large24_standard,large,STANDARD,24,1,48,50,10,0.9420,12307.1,81.25,96.58,151.42,172.88,81.25,1209,1209,1209,0,1209,0,0,57,10,10422.4,20424136,30.4,48
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,E_large24_acorn1,large,ACORN,24,1,48,50,10,0.9800,4563.8,212.75,302.67,362.83,462.21,219.12,1177,1034,905,11226,12133,6232,5900,0,10,10422.4,20424136,30.4,48
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,D_large48_standard,large,STANDARD,48,1,96,50,10,0.9580,11197.5,89.54,101.25,171.46,175.21,89.31,1433,1433,1433,0,1433,0,0,56,10,9627.1,39618184,35.7,96
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,E_large48_acorn1,large,ACORN,48,1,96,50,10,1.0000,2455.3,391.92,526.00,657.79,697.00,407.27,1509,1302,1618,32228,33848,17280,16567,0,10,9627.1,39618184,35.7,96
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,C_acorn_g4,acorn,ACORN,16,4,16,50,10,0.8000,9583.7,105.21,117.92,159.83,206.50,104.34,737,647,1282,2325,3608,1845,1763,0,10,12336.4,18532104,24.5,40
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,C_acorn_g8,acorn,ACORN,16,8,16,50,10,0.7770,9156.8,106.46,136.83,211.58,302.12,109.21,735,645,1271,2312,3585,1833,1752,0,10,19233.8,20264200,24.6,40
n100k_d128_ip,100000,128,ip,random,0.5000,0.5000,50000,C_acorn_g16,acorn,ACORN,16,16,16,50,10,0.8150,9344.1,106.83,150.12,169.54,195.38,107.02,775,685,1286,2335,3622,1850,1771,0,10,39363.7,23728392,24.6,40
