tag,n,d,metric,filter,sel_target,sel_actual,cand,baseline,graph,mode,M,gamma,M_beta,ef,k,recall,qps,p50_us,p95_us,p99_us,max_us,mean_us,ndis,nodes_visited,first_hop,second_hop,sel_checks,accepted,rejected,hops,results_returned,build_ms,graph_bytes,avg_deg0,max_deg0
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,F_exact,exact,EXACT,16,0,0,0,10,1.0000,117.3,8505.12,8715.50,8903.83,9092.29,8526.88,50000,0,0,0,100000,0,0,0,10,0.0,0,0.0,0
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,A_std_standard,std,STANDARD,16,1,32,50,10,0.8050,5638.3,178.71,191.58,194.12,194.62,177.36,1084,1084,1084,0,1084,0,0,60,10,41699.6,14033032,25.8,32
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,B_std_acorn1,std,ACORN,16,1,32,50,10,0.8810,2804.3,345.12,501.67,658.62,832.38,356.59,1086,971,631,5567,6200,3167,3032,0,10,41699.6,14033032,25.8,32
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,D_large24_standard,large,STANDARD,24,1,48,50,10,0.8850,3397.7,236.62,656.29,778.79,780.00,294.32,1324,1324,1324,0,1324,0,0,58,10,36202.3,20424136,32.9,48
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,E_large24_acorn1,large,ACORN,24,1,48,50,10,0.8970,2281.5,444.83,515.62,698.33,899.08,438.31,1171,1030,913,11889,12803,6534,6268,0,10,36202.3,20424136,32.9,48
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,D_large48_standard,large,STANDARD,48,1,96,50,10,0.9310,4046.9,245.75,269.17,287.71,292.96,247.10,1587,1587,1587,0,1587,0,0,56,10,26936.8,39618184,41.1,96
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,E_large48_acorn1,large,ACORN,48,1,96,50,10,1.0000,1464.9,671.83,782.38,1172.54,1278.08,682.63,1463,1254,1775,39557,41334,20988,20346,0,10,26936.8,39618184,41.1,96
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g4,acorn,ACORN,16,4,16,50,10,0.6320,4181.1,240.25,322.92,379.58,450.21,239.17,761,673,1356,2663,4021,2066,1954,0,10,35004.5,18532104,24.2,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g8,acorn,ACORN,16,8,16,50,10,0.6640,4089.7,247.29,339.00,379.96,383.25,244.52,787,699,1306,2386,3694,1889,1805,0,10,55273.2,20264200,24.3,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g16,acorn,ACORN,16,16,16,50,10,0.6220,4048.7,246.00,359.75,436.96,544.62,247.00,798,712,1296,2337,3635,1862,1772,0,10,95724.5,23728392,24.3,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g32,acorn,ACORN,16,32,16,50,10,0.3930,4451.5,226.25,367.08,446.33,490.83,224.64,812,729,1322,2433,3757,1928,1829,0,10,242975.0,30656776,24.3,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,A_std_standard,std,STANDARD,16,1,32,100,10,0.9350,3709.4,270.88,295.88,308.42,331.08,269.58,1503,1503,1503,0,1503,0,0,109,10,41699.6,14033032,25.8,32
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,B_std_acorn1,std,ACORN,16,1,32,100,10,0.9500,1691.4,576.62,795.58,1055.75,1130.21,591.22,1223,1107,1923,22788,24713,12635,12078,0,10,41699.6,14033032,25.8,32
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,D_large24_standard,large,STANDARD,24,1,48,100,10,0.9710,3111.4,307.21,383.21,432.96,452.08,321.40,1730,1730,1730,0,1730,0,0,107,10,36202.3,20424136,32.9,48
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,E_large24_acorn1,large,ACORN,24,1,48,100,10,0.9290,1348.8,743.71,920.75,1218.75,1358.21,741.39,1238,1097,2776,45823,48600,24809,23791,0,10,36202.3,20424136,32.9,48
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,D_large48_standard,large,STANDARD,48,1,96,100,10,0.9920,2948.1,340.96,367.54,384.88,396.71,339.20,1932,1932,1932,0,1932,0,0,106,10,26936.8,39618184,41.1,96
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,E_large48_acorn1,large,ACORN,48,1,96,100,10,1.0000,859.3,1158.25,1318.46,1678.29,1785.79,1163.71,1497,1287,4220,100405,104627,53096,51531,0,10,26936.8,39618184,41.1,96
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g4,acorn,ACORN,16,4,16,100,10,0.6990,2859.4,355.96,454.75,569.29,636.88,349.73,935,846,2509,5384,7895,4047,3847,0,10,35004.5,18532104,24.2,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g8,acorn,ACORN,16,8,16,100,10,0.7560,2834.5,352.25,492.00,629.67,631.21,352.79,980,892,2473,5024,7498,3822,3676,0,10,55273.2,20264200,24.3,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g16,acorn,ACORN,16,16,16,100,10,0.7300,2767.2,357.96,536.12,629.96,639.58,361.38,1023,936,2485,4946,7432,3803,3629,0,10,95724.5,23728392,24.3,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,C_acorn_g32,acorn,ACORN,16,32,16,100,10,0.4780,2751.5,354.67,649.46,755.58,935.75,363.44,1052,970,2566,5180,7748,3969,3778,0,10,242975.0,30656776,24.3,40
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,A_std_standard,std,STANDARD,16,1,32,250,10,0.9980,2207.4,446.58,543.96,576.96,577.17,453.03,1924,1924,1924,0,1924,0,0,259,10,41699.6,14033032,25.8,32
n100k_d768_l2,100000,768,l2,random,0.5000,0.5000,50000,B_std_acorn1,std,ACORN,16,1,32,250,10,0.9500,917.4,1076.96,1331.21,1619.17,1658.00,1090.04,1246,1130,6061,81677,87740,44856,42883,0,10,41699.6,14033032,25.8,32
