tag,n,d,metric,filter,sel_target,sel_actual,cand,baseline,graph,mode,M,gamma,M_beta,ef,k,recall,qps,p50_us,p95_us,p99_us,max_us,mean_us,ndis,nodes_visited,first_hop,second_hop,sel_checks,accepted,rejected,hops,results_returned,build_ms,graph_bytes,avg_deg0,max_deg0
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,F_exact,exact,EXACT,16,0,0,0,10,1.0000,19.7,50908.33,51768.54,52542.88,52542.88,50686.33,500000,0,0,0,1000000,0,0,0,10,0.0,0,0.0,0
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,A_std_standard,std,STANDARD,16,1,32,50,10,0.8680,3356.7,259.29,606.54,1555.67,1555.67,297.91,1103,1103,1103,0,1103,0,0,65,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,B_std_acorn1,std,ACORN,16,1,32,50,10,0.6260,1862.1,484.00,889.54,1608.00,1608.00,537.02,1218,1077,682,5858,6542,3347,3194,0,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large24_standard,large,STANDARD,24,1,48,50,10,0.9280,457.8,1968.83,4961.62,6552.00,6552.00,2184.40,1279,1279,1279,0,1279,0,0,61,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large24_acorn1,large,ACORN,24,1,48,50,10,0.6540,940.6,936.33,2137.12,2390.96,2390.96,1063.15,1432,1258,976,12092,13069,6674,6395,0,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large48_standard,large,STANDARD,48,1,96,50,10,0.9680,771.1,1044.00,2639.21,4782.88,4782.88,1296.84,1465,1465,1465,0,1465,0,0,58,10,142299.3,396080968,35.9,96
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large48_acorn1,large,ACORN,48,1,96,50,10,0.8620,1028.9,914.17,1780.83,1989.21,1989.21,971.87,2001,1715,1689,32987,34677,17715,16961,0,10,142299.3,396080968,35.9,96
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g4,acorn,ACORN,16,4,16,50,10,0.5520,1798.8,529.50,905.25,1777.12,1777.12,555.94,823,715,1424,2519,3945,2019,1925,0,10,222708.5,185032456,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g8,acorn,ACORN,16,8,16,50,10,0.6000,1625.7,627.25,1059.46,1242.17,1242.17,615.11,866,755,1418,2493,3912,2007,1905,0,10,316872.6,202064904,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g16,acorn,ACORN,16,16,16,50,10,0.5220,5353.1,158.58,378.83,441.83,441.83,186.81,925,815,1495,2689,4185,2153,2032,0,10,1186950.8,236129800,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,A_std_standard,std,STANDARD,16,1,32,100,10,0.9360,5982.3,165.92,240.50,279.71,279.71,167.16,1525,1525,1525,0,1525,0,0,114,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,B_std_acorn1,std,ACORN,16,1,32,100,10,0.7300,1798.5,529.96,829.12,911.58,911.58,556.03,1442,1301,1957,21613,23571,12090,11480,0,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large24_standard,large,STANDARD,24,1,48,100,10,0.9840,4645.4,212.04,289.62,296.79,296.79,215.27,1699,1699,1699,0,1699,0,0,110,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large24_acorn1,large,ACORN,24,1,48,100,10,0.7560,1191.1,786.17,1353.92,1563.42,1563.42,839.56,1668,1494,2798,42233,45032,23047,21984,0,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large48_standard,large,STANDARD,48,1,96,100,10,0.9960,4907.6,205.38,239.08,388.92,388.92,203.77,1848,1848,1848,0,1848,0,0,108,10,142299.3,396080968,35.9,96
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large48_acorn1,large,ACORN,48,1,96,100,10,0.9220,855.8,1110.17,1665.79,2053.46,2053.46,1168.43,2198,1912,3968,82102,86072,43957,42114,0,10,142299.3,396080968,35.9,96
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g4,acorn,ACORN,16,4,16,100,10,0.6000,2768.2,354.92,510.46,887.50,887.50,361.25,1004,895,2603,5269,7873,4046,3827,0,10,222708.5,185032456,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g8,acorn,ACORN,16,8,16,100,10,0.7340,2677.7,348.67,651.75,818.17,818.17,373.45,1128,1018,2715,5374,8091,4160,3930,0,10,316872.6,202064904,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g16,acorn,ACORN,16,16,16,100,10,0.6460,3607.3,251.75,399.92,606.75,606.75,277.21,1242,1132,2791,5450,8243,4253,3989,0,10,1186950.8,236129800,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,A_std_standard,std,STANDARD,16,1,32,250,10,0.9440,3320.4,298.42,418.21,455.67,455.67,301.17,1966,1966,1966,0,1966,0,0,264,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,B_std_acorn1,std,ACORN,16,1,32,250,10,0.8100,854.2,1082.75,1659.46,2607.50,2607.50,1170.67,1659,1519,6166,77441,83609,42881,40727,0,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large24_standard,large,STANDARD,24,1,48,250,10,0.9960,2982.7,337.54,419.50,522.04,522.04,335.27,2061,2061,2061,0,2061,0,0,260,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large24_acorn1,large,ACORN,24,1,48,250,10,0.8760,606.3,1494.58,2533.38,2736.42,2736.42,1649.23,1851,1677,8246,134808,143056,73236,69819,0,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large48_standard,large,STANDARD,48,1,96,250,10,0.9980,3119.1,328.29,361.17,410.29,410.29,320.60,2138,2138,2138,0,2138,0,0,258,10,142299.3,396080968,35.9,96
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large48_acorn1,large,ACORN,48,1,96,250,10,0.9820,439.0,2169.96,3295.54,3980.79,3980.79,2278.16,2424,2138,10330,220973,231304,118174,113130,0,10,142299.3,396080968,35.9,96
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g4,acorn,ACORN,16,4,16,250,10,0.6500,1499.7,625.92,1241.00,1390.21,1390.21,666.79,1256,1147,6591,18133,24726,12753,11972,0,10,222708.5,185032456,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g8,acorn,ACORN,16,8,16,250,10,0.7560,1494.0,644.04,926.04,1412.29,1412.29,669.36,1348,1238,6539,17460,24000,12366,11633,0,10,316872.6,202064904,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,C_acorn_g16,acorn,ACORN,16,16,16,250,10,0.7580,1566.1,565.58,1063.54,1259.75,1259.75,638.54,1593,1482,6956,17919,24877,12863,12013,0,10,1186950.8,236129800,24.6,40
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,A_std_standard,std,STANDARD,16,1,32,500,10,0.9440,1803.2,545.25,633.96,719.21,719.21,554.57,2166,2166,2166,0,2166,0,0,514,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,B_std_acorn1,std,ACORN,16,1,32,500,10,0.8500,465.7,1991.62,3557.00,4401.12,4401.12,2147.45,1864,1724,12882,166848,179731,92173,87558,0,10,140884.0,140258120,24.5,32
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large24_standard,large,STANDARD,24,1,48,500,10,0.9960,1792.7,561.04,601.17,928.29,928.29,557.82,2141,2141,2141,0,2141,0,0,510,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,E_large24_acorn1,large,ACORN,24,1,48,500,10,0.9360,335.2,2784.79,4079.67,5184.88,5184.88,2983.55,2059,1885,16732,279852,296585,151720,144864,0,10,132908.2,204166792,30.4,48
n1m_d128_l2,1000000,128,l2,random,0.5000,0.5000,500000,D_large48_standard,large,STANDARD,48,1,96,500,10,0.9980,1740.1,572.58,656.75,714.21,714.21,574.69,2210,2210,2210,0,2210,0,0,508,10,142299.3,396080968,35.9,96
