
################ correlation=neg (rec / latency-us / exact%) ################
   sel | STD              | STD+ASF+AEF      | ACORN1           | ACORN1+ASF       | ACORN1+ASF+AEF   | GAMMA            | GAMMA+ASF        | GAMMA+ASF+AEF   
  0.1% | 0.00/   67/ 0 | 1.00/  131/100 | 0.00/    9/ 0 | 0.00/  152/ 0 | 1.00/  124/100 | 0.00/    9/ 0 | 0.00/  164/ 0 | 1.00/  129/100
  1.0% | 0.00/   61/ 0 | 1.00/  170/100 | 0.00/   10/ 0 | 0.00/  159/ 0 | 1.00/  166/100 | 0.00/    9/ 0 | 0.00/  163/ 0 | 1.00/  169/100
  5.0% | 0.00/   62/ 0 | 1.00/  341/100 | 0.00/   10/ 0 | 0.00/  168/ 0 | 1.00/  343/100 | 0.00/   13/ 0 | 0.00/  163/ 0 | 1.00/  345/100
 10.0% | 0.00/   64/ 0 | 1.00/  525/100 | 0.00/   11/ 0 | 0.00/  163/ 0 | 1.00/  532/100 | 0.00/   10/ 0 | 0.00/  176/ 0 | 1.00/  526/100
 25.0% | 0.00/   63/ 0 | 1.00/  947/100 | 0.00/   11/ 0 | 0.00/  175/ 0 | 1.00/  951/100 | 0.00/   10/ 0 | 0.00/  169/ 0 | 1.00/  950/100

################ correlation=no (rec / latency-us / exact%) ################
   sel | STD              | STD+ASF+AEF      | ACORN1           | ACORN1+ASF       | ACORN1+ASF+AEF   | GAMMA            | GAMMA+ASF        | GAMMA+ASF+AEF   
  0.1% | 0.40/  561/ 0 | 1.00/  137/100 | 0.04/   11/ 0 | 0.93/ 1003/ 0 | 1.00/  132/100 | 0.02/    9/ 0 | 0.80/ 1152/ 0 | 1.00/  138/100
  1.0% | 0.95/  559/ 0 | 1.00/  274/100 | 0.84/ 1056/ 0 | 1.00/ 1045/ 0 | 1.00/  226/100 | 0.44/  156/ 0 | 1.00/ 1175/ 0 | 1.00/  233/100
  5.0% | 1.00/  567/ 0 | 1.00/  559/ 0 | 1.00/  708/ 0 | 1.00/  683/ 0 | 1.00/  612/ 0 | 0.95/  776/ 0 | 1.00/  635/ 0 | 1.00/  641/ 0
 10.0% | 1.00/  566/ 0 | 1.00/  566/ 0 | 1.00/  772/ 0 | 1.00/  322/ 0 | 1.00/  316/ 0 | 1.00/  461/ 0 | 1.00/  302/ 0 | 1.00/  296/ 0
 25.0% | 1.00/  568/ 0 | 1.00/  568/ 0 | 1.00/  258/ 0 | 1.00/  245/ 0 | 1.00/  254/ 0 | 1.00/  161/ 0 | 1.00/  327/ 0 | 1.00/  328/ 0
