
########## correlation=fc (rec / latency-us) ##########
   sel | fixed-entry    | seed=8  (+2h) | seed=32 (+2h) | seed=128(+2h)
  1.0% | 0.00/   335 | 1.00/   363 | 1.00/   331 | 1.00/   311
  5.0% | 0.00/   321 | 0.98/   552 | 0.98/   510 | 0.98/   554
 25.0% | 0.00/   323 | 0.88/   642 | 0.88/   610 | 0.89/   615

########## correlation=neg (rec / latency-us) ##########
   sel | fixed-entry    | seed=8  (+2h) | seed=32 (+2h) | seed=128(+2h)
  1.0% | 0.00/   325 | 0.91/   357 | 0.91/   326 | 0.94/   321
  5.0% | 0.00/   319 | 0.75/   663 | 0.75/   622 | 0.75/   610
 25.0% | 0.00/   324 | 0.57/  1232 | 0.56/  1192 | 0.58/  1195

########## correlation=no (rec / latency-us) ##########
   sel | fixed-entry    | seed=8  (+2h) | seed=32 (+2h) | seed=128(+2h)
  1.0% | 0.80/   318 | 0.88/   388 | 0.90/   338 | 0.91/   352
  5.0% | 0.98/   321 | 1.00/   493 | 1.00/   456 | 1.00/   462
 25.0% | 0.99/   325 | 1.00/   779 | 1.00/   758 | 1.00/   773
