
########## correlation=neg : standard base (rec / latency-us / ANN-examined / exact%) ##########
       | plain                      | post-hoc(OS today)         | inline-abort              
  0.1% | 0.00/  196/  1262/  0 | 1.00/  296/  1262/100 | 1.00/  171/   308/100
  1.0% | 0.00/  170/  1262/  0 | 1.00/  381/  1262/100 | 1.00/  248/   308/100
  5.0% | 0.00/  176/  1262/  0 | 1.00/  678/  1262/100 | 1.00/  524/   308/100
 10.0% | 0.00/  248/  1262/  0 | 1.00/ 1112/  1262/100 | 1.00/  830/   308/100
 25.0% | 0.00/  181/  1262/  0 | 1.00/ 1782/  1262/100 | 1.00/ 1620/   308/100

########## correlation=no : standard base (rec / latency-us / ANN-examined / exact%) ##########
       | plain                      | post-hoc(OS today)         | inline-abort              
  0.1% | 0.40/  780/  4297/  0 | 1.00/  299/  1262/100 | 1.00/  178/   308/100
  1.0% | 0.95/  780/  4297/  0 | 0.95/  780/  4297/  0 | 1.00/  324/   316/100
  5.0% | 1.00/  785/  4297/  0 | 1.00/  777/  4297/  0 | 1.00/  862/  4297/  0
 10.0% | 1.00/  794/  4297/  0 | 1.00/  784/  4297/  0 | 1.00/  777/  4297/  0
 25.0% | 1.00/  781/  4297/  0 | 1.00/  784/  4297/  0 | 1.00/  785/  4297/  0
