scorer,datatype,dim,k,cr_k,cr_2k,cr_5k,cr_10k,err_spearman,note
cos_current_adc,isotropic,128,10,0.1240,0.1980,0.3360,0.4670,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,isotropic,128,50,0.2032,0.3184,0.5152,0.6854,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,isotropic,128,100,0.2510,0.3831,0.6087,0.7986,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,isotropic,128,10,0.2710,0.3900,0.5950,0.7310,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,isotropic,128,50,0.3758,0.5388,0.7662,0.9074,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,isotropic,128,100,0.4222,0.6065,0.8397,0.9547,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,isotropic,128,10,0.1360,0.2030,0.3490,0.4650,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,isotropic,128,50,0.2232,0.3244,0.5278,0.6960,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,isotropic,128,100,0.2568,0.3959,0.6285,0.8126,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,isotropic,768,10,0.1230,0.1840,0.3110,0.4400,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,isotropic,768,50,0.1958,0.3036,0.5044,0.6826,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,isotropic,768,100,0.2419,0.3726,0.6145,0.7977,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,isotropic,768,10,0.2710,0.3840,0.6050,0.7450,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,isotropic,768,50,0.3722,0.5346,0.7660,0.9028,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,isotropic,768,100,0.4172,0.5995,0.8391,0.9566,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,isotropic,768,10,0.1120,0.1790,0.3010,0.4280,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,isotropic,768,50,0.2000,0.3190,0.5240,0.6982,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,isotropic,768,100,0.2556,0.3954,0.6292,0.8104,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,isotropic,1536,10,0.1370,0.2010,0.3390,0.4520,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,isotropic,1536,50,0.2004,0.3092,0.4988,0.6796,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,isotropic,1536,100,0.2413,0.3713,0.6077,0.7960,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,isotropic,1536,10,0.2910,0.4240,0.6290,0.7800,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,isotropic,1536,50,0.3842,0.5478,0.7720,0.9076,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,isotropic,1536,100,0.4203,0.6042,0.8449,0.9550,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,isotropic,1536,10,0.1300,0.1930,0.3330,0.4610,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,isotropic,1536,50,0.2234,0.3344,0.5392,0.7114,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,isotropic,1536,100,0.2673,0.4028,0.6369,0.8174,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,anisotropic,128,10,0.1080,0.1810,0.2900,0.4130,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,anisotropic,128,50,0.1788,0.2792,0.4724,0.6478,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,anisotropic,128,100,0.2247,0.3556,0.5815,0.7682,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,anisotropic,128,10,0.2280,0.3270,0.5350,0.7080,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,anisotropic,128,50,0.3458,0.5042,0.7304,0.8824,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,anisotropic,128,100,0.3996,0.5792,0.8212,0.9437,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,anisotropic,128,10,0.1240,0.1770,0.2940,0.4160,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,anisotropic,128,50,0.1880,0.2936,0.4858,0.6576,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,anisotropic,128,100,0.2365,0.3720,0.5924,0.7790,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,anisotropic,768,10,0.0990,0.1600,0.2680,0.4020,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,anisotropic,768,50,0.1728,0.2758,0.4596,0.6446,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,anisotropic,768,100,0.2246,0.3496,0.5800,0.7711,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,anisotropic,768,10,0.2220,0.3460,0.5360,0.6960,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,anisotropic,768,50,0.3254,0.4806,0.7160,0.8702,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,anisotropic,768,100,0.3842,0.5644,0.8069,0.9369,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,anisotropic,768,10,0.1040,0.1710,0.2920,0.4190,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,anisotropic,768,50,0.1852,0.2976,0.4918,0.6632,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,anisotropic,768,100,0.2400,0.3775,0.6027,0.7877,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,anisotropic,1536,10,0.0810,0.1460,0.2620,0.3670,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,anisotropic,1536,50,0.1698,0.2668,0.4542,0.6306,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,anisotropic,1536,100,0.2182,0.3418,0.5701,0.7614,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,anisotropic,1536,10,0.2220,0.3340,0.5290,0.6980,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,anisotropic,1536,50,0.3490,0.5160,0.7504,0.8918,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,anisotropic,1536,100,0.4063,0.5874,0.8250,0.9501,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,anisotropic,1536,10,0.0940,0.1620,0.2660,0.3950,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,anisotropic,1536,50,0.1858,0.2950,0.4936,0.6712,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,anisotropic,1536,100,0.2386,0.3726,0.6004,0.7837,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,clustered,128,10,0.0370,0.0580,0.1250,0.2120,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,clustered,128,50,0.1076,0.1810,0.3340,0.5088,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,clustered,128,100,0.1605,0.2711,0.4849,0.6927,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,clustered,128,10,0.0760,0.1210,0.2400,0.3510,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,clustered,128,50,0.1710,0.3000,0.5514,0.7394,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,clustered,128,100,0.2627,0.4426,0.7077,0.8827,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,clustered,128,10,0.0320,0.0690,0.1210,0.1880,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,clustered,128,50,0.0916,0.1598,0.3352,0.5230,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,clustered,128,100,0.1437,0.2581,0.4985,0.7109,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,clustered,768,10,0.0310,0.0460,0.0860,0.1860,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,clustered,768,50,0.0776,0.1608,0.3764,0.6078,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,clustered,768,100,0.1480,0.2909,0.5835,0.8032,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,clustered,768,10,0.0870,0.1420,0.3100,0.4930,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,clustered,768,50,0.2488,0.4290,0.7108,0.8644,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,clustered,768,100,0.3830,0.6030,0.8371,0.9469,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,clustered,768,10,0.0510,0.0790,0.1540,0.2630,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,clustered,768,50,0.1366,0.2308,0.4254,0.6012,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,clustered,768,100,0.2169,0.3559,0.5827,0.7684,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,clustered,1536,10,0.0600,0.0890,0.1770,0.2820,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,clustered,1536,50,0.1372,0.2374,0.4540,0.6596,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,clustered,1536,100,0.2152,0.3645,0.6354,0.8371,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,clustered,1536,10,0.1140,0.1960,0.3680,0.5340,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,clustered,1536,50,0.2736,0.4434,0.6896,0.8316,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,clustered,1536,100,0.3973,0.5982,0.8106,0.9191,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,clustered,1536,10,0.0610,0.1230,0.2370,0.3670,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,clustered,1536,50,0.1714,0.2890,0.4884,0.6368,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,clustered,1536,100,0.2579,0.4064,0.6135,0.7840,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,uniform,128,10,0.1470,0.2370,0.3800,0.5120,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,128,50,0.2364,0.3590,0.5570,0.7302,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,128,100,0.2790,0.4197,0.6525,0.8300,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,uniform,128,10,0.3840,0.5340,0.7650,0.8830,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,128,50,0.4758,0.6612,0.8748,0.9634,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,128,100,0.5152,0.7211,0.9234,0.9880,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,uniform,128,10,0.2350,0.3370,0.5310,0.6640,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,128,50,0.3134,0.4620,0.6926,0.8394,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,128,100,0.3636,0.5326,0.7718,0.9138,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,uniform,768,10,0.1360,0.2110,0.3630,0.5060,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,768,50,0.2240,0.3390,0.5416,0.7192,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,768,100,0.2709,0.4115,0.6454,0.8255,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,uniform,768,10,0.3950,0.5380,0.7380,0.8840,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,768,50,0.4714,0.6620,0.8800,0.9678,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,768,100,0.5212,0.7253,0.9256,0.9894,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,uniform,768,10,0.2040,0.3250,0.5050,0.6620,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,768,50,0.3114,0.4638,0.6806,0.8320,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,768,100,0.3643,0.5334,0.7698,0.9163,0.0000,symmetric 1-bit Hamming on unit vectors
