config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
baseline,isotropic,128,l2,10,0.0960,0.1470,0.1840,0.2670,0.3740,0.3740,0.4992,0.8564,0.0000
baseline,isotropic,128,l2,50,0.1664,0.2506,0.3194,0.4276,0.5930,0.2506,0.4992,0.8564,0.0000
baseline,isotropic,128,l2,100,0.2009,0.3146,0.3973,0.5226,0.7161,0.2009,0.4992,0.8564,0.0000
adc,isotropic,128,l2,10,0.1880,0.2800,0.3510,0.4590,0.5880,0.5880,0.6369,0.7574,0.0000
adc,isotropic,128,l2,50,0.2716,0.3966,0.4818,0.6048,0.7702,0.3966,0.6369,0.7574,0.0000
adc,isotropic,128,l2,100,0.3086,0.4554,0.5569,0.6939,0.8621,0.3086,0.6369,0.7574,0.0000
rotation,isotropic,128,l2,10,0.0950,0.1440,0.2000,0.2690,0.3770,0.3770,0.5021,0.8546,0.0000
rotation,isotropic,128,l2,50,0.1608,0.2460,0.3168,0.4200,0.5956,0.2460,0.5021,0.8546,0.0000
rotation,isotropic,128,l2,100,0.1995,0.3134,0.3957,0.5263,0.7123,0.1995,0.5021,0.8546,0.0000
adc_rot,isotropic,128,l2,10,0.1850,0.3020,0.3770,0.4600,0.6030,0.6030,0.6372,0.7574,-0.0000
adc_rot,isotropic,128,l2,50,0.2602,0.3864,0.4778,0.6058,0.7762,0.3864,0.6372,0.7574,-0.0000
adc_rot,isotropic,128,l2,100,0.3027,0.4535,0.5500,0.6934,0.8595,0.3027,0.6372,0.7574,-0.0000
baseline,isotropic,128,cosine,10,0.1360,0.2030,0.2580,0.3490,0.4650,0.4650,0.6168,0.7702,-0.0000
baseline,isotropic,128,cosine,50,0.2232,0.3244,0.4076,0.5278,0.6960,0.3244,0.6168,0.7702,-0.0000
baseline,isotropic,128,cosine,100,0.2568,0.3959,0.4918,0.6285,0.8126,0.2568,0.6168,0.7702,-0.0000
adc,isotropic,128,cosine,10,0.1240,0.1980,0.2470,0.3360,0.4670,0.4670,0.5999,0.7863,-0.0000
adc,isotropic,128,cosine,50,0.2032,0.3184,0.4052,0.5152,0.6854,0.3184,0.5999,0.7863,-0.0000
adc,isotropic,128,cosine,100,0.2510,0.3831,0.4772,0.6087,0.7986,0.2510,0.5999,0.7863,-0.0000
rotation,isotropic,128,cosine,10,0.1370,0.2050,0.2560,0.3580,0.4820,0.4820,0.6164,0.7730,-0.0000
rotation,isotropic,128,cosine,50,0.2208,0.3320,0.4114,0.5214,0.6990,0.3320,0.6164,0.7730,-0.0000
rotation,isotropic,128,cosine,100,0.2589,0.3917,0.4867,0.6224,0.8044,0.2589,0.6164,0.7730,-0.0000
adc_rot,isotropic,128,cosine,10,0.1280,0.1980,0.2580,0.3400,0.4590,0.4590,0.6038,0.7824,-0.0000
adc_rot,isotropic,128,cosine,50,0.2032,0.3076,0.3848,0.5088,0.6820,0.3076,0.6038,0.7824,-0.0000
adc_rot,isotropic,128,cosine,100,0.2463,0.3769,0.4713,0.6060,0.7964,0.2463,0.6038,0.7824,-0.0000
baseline,isotropic,384,l2,10,0.0860,0.1290,0.1640,0.2230,0.3260,0.3260,0.5015,0.8533,-0.0000
baseline,isotropic,384,l2,50,0.1468,0.2284,0.2940,0.3936,0.5722,0.2284,0.5015,0.8533,-0.0000
baseline,isotropic,384,l2,100,0.1890,0.3006,0.3837,0.5186,0.7125,0.1890,0.5015,0.8533,-0.0000
adc,isotropic,384,l2,10,0.1650,0.2600,0.3320,0.4060,0.5500,0.5500,0.6372,0.7557,0.0000
adc,isotropic,384,l2,50,0.2414,0.3710,0.4590,0.5832,0.7552,0.3710,0.6372,0.7557,0.0000
adc,isotropic,384,l2,100,0.2935,0.4405,0.5432,0.6789,0.8545,0.2935,0.6372,0.7557,0.0000
rotation,isotropic,384,l2,10,0.0880,0.1450,0.1860,0.2310,0.3290,0.3290,0.5021,0.8520,-0.0000
rotation,isotropic,384,l2,50,0.1454,0.2292,0.2944,0.3928,0.5674,0.2292,0.5021,0.8520,-0.0000
rotation,isotropic,384,l2,100,0.1876,0.2954,0.3813,0.5078,0.6995,0.1876,0.5021,0.8520,-0.0000
adc_rot,isotropic,384,l2,10,0.1700,0.2600,0.3170,0.4080,0.5330,0.5330,0.6333,0.7564,-0.0000
adc_rot,isotropic,384,l2,50,0.2484,0.3714,0.4572,0.5796,0.7550,0.3714,0.6333,0.7564,-0.0000
adc_rot,isotropic,384,l2,100,0.2939,0.4418,0.5394,0.6746,0.8496,0.2939,0.6333,0.7564,-0.0000
baseline,isotropic,384,cosine,10,0.1440,0.2240,0.2790,0.3670,0.4880,0.4880,0.6122,0.7742,0.0000
baseline,isotropic,384,cosine,50,0.2116,0.3200,0.3994,0.5134,0.6878,0.3200,0.6122,0.7742,0.0000
