seg_id,type,dim,N,bits,code_bytes_per_vec,ceiling_maxef,target,calN,feasible_ef,sel_depth,cal_lb,eval_recall
0,easy128,128,9362,1,16,0.8067,0.90,25,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.90,50,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.90,100,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.90,150,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.95,25,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.95,50,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.95,100,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.95,150,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.97,25,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.97,50,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.97,100,-1,-1,0.0000,0.0000
0,easy128,128,9362,1,16,0.8067,0.97,150,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.90,25,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.90,50,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.90,100,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.90,150,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.95,25,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.95,50,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.95,100,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.95,150,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.97,25,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.97,50,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.97,100,-1,-1,0.0000,0.0000
0,easy128,128,9362,2,32,0.8933,0.97,150,-1,-1,0.0000,0.0000
0,easy128,128,9362,4,64,0.9917,0.90,25,200,30,0.9360,0.9483
0,easy128,128,9362,4,64,0.9917,0.90,50,200,30,0.9340,0.9483
