seg_id,type,dim,N,anisotropy,recon_err_1b,recon_err_2b,recon_err_4b,intrinsic_dim,nn_spread,cluster_sep,probe_ceil_1b_ef50,sel_bits_095
0,easy128,128,9362,1.088,7.1313,0.4415,0.0172,56.8,0.042,1.209,0.2683,4
1,easy128,128,20749,1.090,7.3668,0.4559,0.0177,58.5,0.042,1.209,0.2050,32
2,easy128,128,8222,1.087,7.1965,0.4471,0.0174,56.0,0.040,1.215,0.2567,4
3,easy128,128,6665,1.077,7.2365,0.4485,0.0175,54.0,0.040,1.208,0.3467,4
4,easy128,128,5241,1.085,7.1946,0.4450,0.0174,53.4,0.042,1.211,0.3517,4
5,easy128,128,9526,1.071,7.3429,0.4541,0.0177,56.8,0.044,1.205,0.2650,4
6,easy128,128,5009,1.081,7.4425,0.4592,0.0179,61.5,0.040,1.206,0.3300,4
7,easy128,128,5001,1.102,7.1412,0.4430,0.0173,58.5,0.040,1.217,0.3383,4
8,easy128,128,5935,1.087,7.4112,0.4589,0.0179,58.2,0.039,1.208,0.3450,4
9,easy128,128,7114,1.086,7.2221,0.4469,0.0175,55.4,0.044,1.213,0.2800,4
10,sift128,128,8015,2.448,0.3833,0.0628,0.0030,7.4,0.260,2.113,0.7433,1
11,sift128,128,5097,2.351,0.3949,0.0639,0.0030,5.6,0.283,2.211,0.7967,1
12,sift128,128,5633,2.448,0.3542,0.0619,0.0028,4.7,0.297,2.231,0.8133,1
13,sift128,128,5073,2.469,0.3806,0.0642,0.0030,5.5,0.277,2.193,0.8000,1
14,sift128,128,5686,2.385,0.3756,0.0617,0.0030,5.1,0.315,2.246,0.7783,1
15,sift128,128,5163,2.486,0.3885,0.0635,0.0028,6.7,0.275,1.992,0.7883,1
16,sift128,128,5073,2.614,0.3632,0.0580,0.0028,6.1,0.442,2.524,0.6733,1
17,sift128,128,5512,2.498,0.3778,0.0588,0.0029,5.8,0.332,2.369,0.7267,1
18,medium384,384,7357,1.120,7.3076,0.4515,0.0176,108.4,0.022,1.115,0.2600,4
19,medium384,384,5078,1.098,7.1998,0.4457,0.0174,103.5,0.024,1.111,0.2883,4
20,medium384,384,7683,1.089,7.3006,0.4515,0.0176,101.4,0.023,1.116,0.2267,4
21,medium384,384,5829,1.099,7.2658,0.4490,0.0175,103.3,0.022,1.109,0.2400,4
22,medium384,384,6813,1.080,7.2995,0.4513,0.0176,97.9,0.023,1.115,0.2183,4
23,medium384,384,10002,1.082,7.3612,0.4554,0.0177,102.0,0.022,1.113,0.1817,4
24,medium384,384,7363,1.087,7.2525,0.4482,0.0175,105.9,0.021,1.115,0.2633,4
25,manifold768,768,9612,1.648,7.2964,0.4514,0.0176,38.2,0.064,1.324,0.0750,4
26,manifold768,768,5216,1.776,7.2931,0.4515,0.0176,34.4,0.062,1.335,0.1117,4
27,manifold768,768,6090,1.620,7.1998,0.4462,0.0174,36.0,0.063,1.345,0.1450,4
28,manifold768,768,4960,1.590,7.2274,0.4474,0.0175,36.7,0.059,1.335,0.1233,4
29,manifold768,768,9585,1.568,7.2575,0.4490,0.0175,36.9,0.062,1.337,0.0833,4
30,manifold768,768,4204,1.714,7.3063,0.4521,0.0176,34.9,0.063,1.362,0.1233,4
31,manifold768,768,5216,1.620,7.2750,0.4502,0.0176,37.6,0.060,1.338,0.1583,4
32,isotropic768,768,8110,1.115,7.2786,0.4506,0.0176,142.3,0.015,1.076,0.2283,4
