seg_id,type,dim,N,bits,code_bytes_per_vec,feasible_095,sel_ef,sel_depth,eval_recall,warm_p50,warm_p99,mean_nodes,bytes_per_query
0,easy128,128,9362,1,16,0,500,500,0.8067,1168.6,1881.8,6815.9,109054
0,easy128,128,9362,2,32,0,500,500,0.8933,952.8,1238.1,6125.0,196001
0,easy128,128,9362,4,64,1,500,30,0.9783,692.6,902.9,4982.1,318854
0,easy128,128,9362,32,512,1,500,10,0.9900,603.8,872.8,4977.4,2548420
1,easy128,128,20749,1,16,0,500,500,0.7117,1362.6,1830.6,9530.6,152489
1,easy128,128,20749,2,32,0,500,500,0.7683,1290.8,1715.5,8881.4,284203
1,easy128,128,20749,4,64,0,500,500,0.9617,1009.8,1786.6,6713.2,429644
1,easy128,128,20749,32,512,1,500,10,0.9567,809.4,2459.9,6708.0,3434505
2,easy128,128,8222,1,16,0,500,500,0.8050,948.5,1200.5,6359.8,101756
2,easy128,128,8222,2,32,0,500,500,0.8817,868.5,1350.3,5693.1,182178
2,easy128,128,8222,4,64,1,200,50,0.9517,390.8,667.5,3056.7,195629
2,easy128,128,8222,32,512,1,200,10,0.9650,326.5,554.5,3040.8,1556890
3,easy128,128,6665,1,16,0,500,500,0.8850,959.8,1338.7,5607.8,89725
3,easy128,128,6665,2,32,0,500,500,0.9250,820.9,1152.3,4987.1,159587
3,easy128,128,6665,4,64,1,200,30,0.9767,354.2,408.0,2877.0,184125
3,easy128,128,6665,32,512,1,200,10,0.9783,311.6,575.4,2860.5,1464585
4,easy128,128,5241,1,16,0,500,500,0.8583,812.0,1119.9,4712.9,75407
4,easy128,128,5241,2,32,0,500,500,0.9217,824.0,1530.4,4235.2,135527
4,easy128,128,5241,4,64,1,200,30,0.9667,326.9,430.3,2577.8,164978
4,easy128,128,5241,32,512,1,200,10,0.9733,280.7,465.9,2589.0,1325585
5,easy128,128,9526,1,16,0,500,500,0.8217,986.8,1543.3,6885.2,110164
5,easy128,128,9526,2,32,0,500,500,0.8933,884.5,1173.4,6223.6,199156
5,easy128,128,9526,4,64,1,500,30,0.9767,737.3,1016.4,5075.3,324820
5,easy128,128,9526,32,512,1,500,10,0.9917,648.3,1275.0,5076.0,2598929
6,easy128,128,5009,1,16,0,500,500,0.9000,716.9,1402.0,4545.9,72734
6,easy128,128,5009,2,32,0,500,500,0.9533,674.4,1061.2,4115.3,131689
6,easy128,128,5009,4,64,1,200,30,0.9783,313.1,376.5,2506.8,160433
6,easy128,128,5009,32,512,1,200,10,0.9850,268.7,532.4,2521.4,1290940
7,easy128,128,5001,1,16,0,500,500,0.8767,728.4,1420.3,4564.4,73030
7,easy128,128,5001,2,32,0,500,500,0.9633,754.3,1088.0,4111.6,131571
7,easy128,128,5001,4,64,1,200,30,0.9883,316.6,524.1,2545.5,162913
7,easy128,128,5001,32,512,1,200,10,0.9967,283.1,398.9,2542.8,1301888
8,easy128,128,5935,1,16,0,500,500,0.8617,1036.4,1483.8,5142.4,82279
8,easy128,128,5935,2,32,0,500,500,0.9300,719.2,968.8,4651.7,148855
8,easy128,128,5935,4,64,1,200,30,0.9600,337.6,434.0,2728.9,174647
8,easy128,128,5935,32,512,1,200,10,0.9783,298.8,647.8,2738.4,1402035
9,easy128,128,7114,1,16,0,500,500,0.8683,906.5,1284.3,5801.7,92826
9,easy128,128,7114,2,32,0,500,500,0.9283,822.8,1199.5,5192.3,166154
9,easy128,128,7114,4,64,1,200,30,0.9650,380.8,747.3,2933.7,187759
9,easy128,128,7114,32,512,1,200,10,0.9767,328.6,561.3,2926.9,1498581
