seg_id,type,dim,N,selected_bits,selected_ef,ceiling_1b,ceiling_2b,ceiling_4b,ceiling_fp32,fp32_unachievable
0,easy128,128,9362,4bit,500,0.807,0.893,0.992,0.990,no
1,easy128,128,20749,fp32,500,0.712,0.768,0.962,0.957,no
2,easy128,128,8222,4bit,200,0.805,0.882,0.992,0.990,no
3,easy128,128,6665,4bit,200,0.885,0.925,0.995,0.993,no
4,easy128,128,5241,4bit,200,0.858,0.922,0.993,0.995,no
5,easy128,128,9526,4bit,500,0.822,0.893,0.992,0.992,no
6,easy128,128,5009,4bit,200,0.900,0.953,0.997,0.995,no
7,easy128,128,5001,4bit,200,0.877,0.963,1.000,1.000,no
8,easy128,128,5935,4bit,200,0.862,0.930,0.990,0.993,no
9,easy128,128,7114,4bit,200,0.868,0.928,0.990,0.990,no
10,sift128,128,8015,1bit,500,0.990,1.000,1.000,1.000,no
11,sift128,128,5097,1bit,200,1.000,1.000,1.000,1.000,no
12,sift128,128,5633,1bit,200,1.000,1.000,1.000,1.000,no
13,sift128,128,5073,1bit,200,0.998,1.000,1.000,1.000,no
14,sift128,128,5686,1bit,200,1.000,1.000,1.000,1.000,no
15,sift128,128,5163,1bit,200,0.997,1.000,1.000,1.000,no
16,sift128,128,5073,1bit,500,0.990,1.000,1.000,1.000,no
17,sift128,128,5512,1bit,200,0.993,1.000,1.000,1.000,no
18,medium384,384,7357,4bit,500,0.778,0.887,0.987,0.987,no
19,medium384,384,5078,4bit,200,0.872,0.947,0.992,0.997,no
20,medium384,384,7683,4bit,500,0.767,0.867,0.977,0.985,no
21,medium384,384,5829,4bit,500,0.837,0.910,0.993,0.988,no
22,medium384,384,6813,4bit,500,0.798,0.903,0.982,0.987,no
23,medium384,384,10002,4bit,500,0.738,0.843,0.975,0.980,no
24,medium384,384,7363,4bit,500,0.815,0.883,0.987,0.995,no
25,manifold768,768,9612,4bit,50,0.363,0.735,1.000,1.000,no
26,manifold768,768,5216,4bit,50,0.428,0.853,1.000,1.000,no
27,manifold768,768,6090,4bit,50,0.545,0.932,1.000,1.000,no
28,manifold768,768,4960,4bit,50,0.507,0.907,1.000,1.000,no
29,manifold768,768,9585,4bit,50,0.408,0.795,1.000,1.000,no
30,manifold768,768,4204,4bit,50,0.583,0.958,1.000,1.000,no
31,manifold768,768,5216,4bit,50,0.493,0.917,1.000,1.000,no
32,isotropic768,768,8110,4bit,500,0.747,0.857,0.970,0.977,no
