seg,type,dim,N,rep,precond,policy,frac,eff_bits,code_bytes_per_vec,sidecar_bytes,total_bytes_per_vec,ceil20,ceil50,ceil100,ceil200,ceil500,ceil_max,min_ef_095,feasible_095,build_ms
0,sift128,128,8000,uniform1,none,uniform,0.00,1.000,16,0,16,0.5230,0.7410,0.8700,0.9450,0.9900,0.9900,500,1,1684
0,sift128,128,8000,uniform2,none,uniform,0.00,2.000,32,0,32,0.8290,0.9600,0.9960,1.0000,1.0000,1.0000,50,1,1412
0,sift128,128,8000,had_uniform1,hadamard,uniform,0.00,1.000,16,0,16,0.6400,0.8610,0.9550,0.9910,1.0000,1.0000,100,1,1540
0,sift128,128,8000,had_frac1.5,hadamard,variance,0.50,1.500,24,0,24,0.6160,0.8230,0.9260,0.9800,1.0000,1.0000,200,1,1777
1,iid128,128,8000,uniform1,none,uniform,0.00,1.000,16,0,16,0.1470,0.2890,0.4460,0.6270,0.8250,0.8250,-1,0,3583
1,iid128,128,8000,uniform2,none,uniform,0.00,2.000,32,0,32,0.2020,0.3820,0.5500,0.7090,0.8950,0.8950,-1,0,3220
1,iid128,128,8000,had_uniform1,hadamard,uniform,0.00,1.000,16,0,16,0.1510,0.2980,0.4490,0.6220,0.8230,0.8230,-1,0,3718
1,iid128,128,8000,had_frac1.5,hadamard,variance,0.50,1.500,24,0,24,0.1320,0.2600,0.3870,0.5460,0.7380,0.7380,-1,0,3528
2,iid384,384,7000,uniform1,none,uniform,0.00,1.000,48,0,48,0.1210,0.2460,0.3890,0.5900,0.8250,0.8250,-1,0,9281
2,iid384,384,7000,uniform2,none,uniform,0.00,2.000,96,0,96,0.1920,0.3660,0.5470,0.7200,0.9070,0.9070,-1,0,8073
2,iid384,384,7000,had_uniform1,hadamard,uniform,0.00,1.333,64,0,64,0.1400,0.2630,0.4300,0.6090,0.8400,0.8400,-1,0,11907
2,iid384,384,7000,had_frac1.5,hadamard,variance,0.50,2.000,96,0,96,0.1170,0.2430,0.3940,0.5900,0.8100,0.8100,-1,0,11831
3,manifold768,768,6000,uniform1,none,uniform,0.00,1.000,96,0,96,0.0510,0.1210,0.1890,0.2990,0.4960,0.4960,-1,0,13489
3,manifold768,768,6000,uniform2,none,uniform,0.00,2.000,192,0,192,0.1900,0.3740,0.5610,0.7330,0.9060,0.9060,-1,0,11997
3,manifold768,768,6000,had_uniform1,hadamard,uniform,0.00,1.333,128,0,128,0.0640,0.1560,0.2420,0.3560,0.5680,0.5680,-1,0,18045
3,manifold768,768,6000,had_frac1.5,hadamard,variance,0.50,2.000,192,0,192,0.1060,0.2280,0.3620,0.4860,0.7080,0.7080,-1,0,17685
4,iso768,768,5000,uniform1,none,uniform,0.00,1.000,96,0,96,0.1150,0.2350,0.3880,0.5840,0.8300,0.8300,-1,0,11818
4,iso768,768,5000,uniform2,none,uniform,0.00,2.000,192,0,192,0.2320,0.4170,0.5950,0.7620,0.9250,0.9250,-1,0,9998
4,iso768,768,5000,had_uniform1,hadamard,uniform,0.00,1.333,128,0,128,0.1250,0.2720,0.4600,0.7020,0.9080,0.9080,-1,0,15787
4,iso768,768,5000,had_frac1.5,hadamard,variance,0.50,2.000,192,0,192,0.1360,0.2840,0.4660,0.6670,0.8780,0.8780,-1,0,15806
