dataset,rep,total_B,true_eff_bits,ceil_max,ef95,feasible95
fmnist784,uniform1,98,1.000,0.9165,-1,0
fmnist784,uniform2,196,2.000,1.0000,50,1
fmnist784,uniform4,392,4.000,1.0000,20,1
fmnist784,had_c1_pad,128,1.306,0.9570,500,1
fmnist784,had_c2_preserve,98,1.000,0.9435,-1,0
fmnist784,rabitq_insp,106,1.082,1.0000,50,1
fmnist784,fp32,3136,32.000,1.0000,20,1
nytimes256,uniform1,32,1.000,0.6885,-1,0
nytimes256,uniform2,64,2.000,0.7925,-1,0
nytimes256,uniform4,128,4.000,0.6260,-1,0
nytimes256,had_c1_pad,32,1.000,0.4855,-1,0
nytimes256,had_c2_preserve,32,1.000,0.4855,-1,0
nytimes256,rabitq_insp,40,1.250,0.6305,-1,0
nytimes256,fp32,1024,32.000,0.6260,-1,0
iid784,uniform1,98,1.000,0.6975,-1,0
iid784,uniform2,196,2.000,0.8265,-1,0
iid784,uniform4,392,4.000,0.9630,500,1
iid784,had_c1_pad,128,1.306,0.7730,-1,0
iid784,had_c2_preserve,98,1.000,0.7295,-1,0
iid784,rabitq_insp,106,1.082,0.9675,500,1
iid784,fp32,3136,32.000,0.9695,500,1
iid256,uniform1,32,1.000,0.7575,-1,0
iid256,uniform2,64,2.000,0.8465,-1,0
iid256,uniform4,128,4.000,0.9715,500,1
iid256,had_c1_pad,32,1.000,0.7645,-1,0
iid256,had_c2_preserve,32,1.000,0.7645,-1,0
iid256,rabitq_insp,40,1.250,0.9655,500,1
iid256,fp32,1024,32.000,0.9770,500,1
