seg,type,dim,N,rep,precond,policy,frac,eff_bits,code_bytes_per_vec,sidecar_bytes,total_bytes_per_vec,ceil20,ceil50,ceil100,ceil200,ceil500,ceil_max,min_ef_095,feasible_095,build_ms
0,sift128,128,8000,uniform1,none,uniform,0.00,1.000,16,0,16,0.5230,0.7410,0.8700,0.9450,0.9900,0.9900,500,1,1684
0,sift128,128,8000,smart1,none,condmean,0.00,1.000,16,0,16,0.5670,0.8020,0.9280,0.9790,0.9990,0.9990,200,1,1443
0,sift128,128,8000,uniform2,none,uniform,0.00,2.000,32,0,32,0.8290,0.9600,0.9960,1.0000,1.0000,1.0000,50,1,1412
1,iid128,128,8000,uniform1,none,uniform,0.00,1.000,16,0,16,0.1470,0.2890,0.4460,0.6270,0.8250,0.8250,-1,0,3583
1,iid128,128,8000,smart1,none,condmean,0.00,1.000,16,0,16,0.1690,0.3110,0.4580,0.6500,0.8440,0.8440,-1,0,3670
1,iid128,128,8000,uniform2,none,uniform,0.00,2.000,32,0,32,0.2020,0.3820,0.5500,0.7090,0.8950,0.8950,-1,0,3220
2,iid384,384,7000,uniform1,none,uniform,0.00,1.000,48,0,48,0.1210,0.2460,0.3890,0.5900,0.8250,0.8250,-1,0,9281
2,iid384,384,7000,smart1,none,condmean,0.00,1.000,48,0,48,0.1040,0.2340,0.3890,0.5740,0.8480,0.8480,-1,0,9360
2,iid384,384,7000,uniform2,none,uniform,0.00,2.000,96,0,96,0.1920,0.3660,0.5470,0.7200,0.9070,0.9070,-1,0,8073
3,manifold768,768,6000,uniform1,none,uniform,0.00,1.000,96,0,96,0.0510,0.1210,0.1890,0.2990,0.4960,0.4960,-1,0,13489
3,manifold768,768,6000,smart1,none,condmean,0.00,1.000,96,0,96,0.0370,0.0770,0.1390,0.2210,0.3950,0.3950,-1,0,13312
3,manifold768,768,6000,uniform2,none,uniform,0.00,2.000,192,0,192,0.1900,0.3740,0.5610,0.7330,0.9060,0.9060,-1,0,11997
4,iso768,768,5000,uniform1,none,uniform,0.00,1.000,96,0,96,0.1150,0.2350,0.3880,0.5840,0.8300,0.8300,-1,0,11818
4,iso768,768,5000,smart1,none,condmean,0.00,1.000,96,0,96,0.1140,0.2440,0.3980,0.6230,0.8680,0.8680,-1,0,11967
4,iso768,768,5000,uniform2,none,uniform,0.00,2.000,192,0,192,0.2320,0.4170,0.5950,0.7620,0.9250,0.9250,-1,0,9998
