dataset,dim,N,rep,eff_bits,code_bytes_per_vec,sidecar_bytes,total_bytes_per_vec,ceil20,ceil50,ceil100,ceil200,ceil500,ceil_max,ef90,ef95,ef97,feasible95,build_ms,nn_overlap10
fmnist784,784,20000,uniform1,1.000,98,0,98,0.5605,0.7285,0.8110,0.8610,0.9055,0.9055,500,-1,-1,0,12434,0.3667
fmnist784,784,20000,osq_1bit,1.000,98,8,106,0.6660,0.8625,0.9430,0.9835,0.9980,0.9980,100,200,200,1,11179,0.5433
fmnist784,784,20000,rabitq_insp,1.000,98,8,106,0.9485,0.9950,0.9995,0.9995,1.0000,1.0000,20,50,50,1,114476,0.7633
fmnist784,784,20000,osq_4bit,4.000,392,8,400,0.9960,0.9995,1.0000,1.0000,1.0000,1.0000,20,20,20,1,12272,0.9800
fmnist784,784,20000,uniform4,4.000,392,0,392,0.9905,0.9995,1.0000,1.0000,1.0000,1.0000,20,20,20,1,13481,0.9867
fmnist784,784,20000,fp32,32.000,3136,0,3136,0.9915,0.9995,1.0000,1.0000,1.0000,1.0000,20,20,20,1,12157,1.0000
iid784,784,15000,uniform1,1.000,98,0,98,0.0530,0.1200,0.2125,0.3480,0.5975,0.5975,-1,-1,-1,0,47046,0.1433
iid784,784,15000,osq_1bit,1.000,98,8,106,0.2880,0.4640,0.6395,0.7815,0.9165,0.9165,500,-1,-1,0,24184,0.3300
iid784,784,15000,rabitq_insp,1.000,98,8,106,0.2745,0.4700,0.6420,0.8010,0.9305,0.9305,500,-1,-1,0,305611,0.2833
iid784,784,15000,osq_4bit,4.000,392,8,400,0.4070,0.6050,0.7465,0.8515,0.9365,0.9365,500,-1,-1,0,24688,0.8000
iid784,784,15000,uniform4,4.000,392,0,392,0.4205,0.6075,0.7465,0.8670,0.9445,0.9445,500,-1,-1,0,29712,0.7500
iid784,784,15000,fp32,32.000,3136,0,3136,0.4170,0.6080,0.7475,0.8725,0.9510,0.9510,500,500,-1,1,24554,1.0000
