dataset,dim,N,rep,eff_bits,code_bytes_per_vec,sidecar_bytes,total_bytes_per_vec,ceil20,ceil50,ceil100,ceil200,ceil500,ceil_max,ef90,ef95,ef97,feasible95,build_ms,nn_overlap10
fmnist784,784,12000,uniform1,1.000,98,0,98,0.5865,0.7585,0.8270,0.8635,0.9165,0.9165,500,-1,-1,0,7334,0.3967
fmnist784,784,12000,uniform2,2.000,196,0,196,0.9030,0.9805,0.9970,0.9995,1.0000,1.0000,20,50,50,1,7950,0.7333
fmnist784,784,12000,uniform4,4.000,392,0,392,0.9910,0.9995,1.0000,1.0000,1.0000,1.0000,20,20,20,1,7835,0.9700
fmnist784,784,12000,had_c1_pad,1.306,128,0,128,0.6005,0.7705,0.8500,0.9065,0.9570,0.9570,200,500,-1,1,35606,0.3600
fmnist784,784,12000,had_c2_preserve,1.000,98,0,98,0.5405,0.7210,0.8130,0.8790,0.9435,0.9435,500,-1,-1,0,26497,0.3367
fmnist784,784,12000,rabitq_insp,1.000,98,8,106,0.9425,0.9945,0.9995,1.0000,1.0000,1.0000,20,50,50,1,66264,0.7633
fmnist784,784,12000,fp32,32.000,3136,0,3136,0.9920,0.9990,0.9995,1.0000,1.0000,1.0000,20,20,20,1,6533,1.0000
nytimes256,256,15000,uniform1,1.000,32,0,32,0.3080,0.4080,0.4900,0.5865,0.6885,0.6885,-1,-1,-1,0,15204,0.2900
nytimes256,256,15000,uniform2,2.000,64,0,64,0.3760,0.5205,0.6060,0.6910,0.7925,0.7925,-1,-1,-1,0,13953,0.3133
nytimes256,256,15000,uniform4,4.000,128,0,128,0.6070,0.6150,0.6210,0.6235,0.6260,0.6260,-1,-1,-1,0,4650,0.9200
nytimes256,256,15000,had_c1_pad,1.000,32,0,32,0.2845,0.3470,0.3920,0.4340,0.4855,0.4855,-1,-1,-1,0,110920,0.2800
nytimes256,256,15000,had_c2_preserve,1.000,32,0,32,0.2845,0.3470,0.3920,0.4340,0.4855,0.4855,-1,-1,-1,0,110864,0.2800
nytimes256,256,15000,rabitq_insp,1.000,32,8,40,0.5995,0.6165,0.6215,0.6270,0.6305,0.6305,-1,-1,-1,0,42215,0.7300
nytimes256,256,15000,fp32,32.000,1024,0,1024,0.6020,0.6160,0.6195,0.6220,0.6260,0.6260,-1,-1,-1,0,3240,1.0000
iid784,784,10000,uniform1,1.000,98,0,98,0.0795,0.1655,0.2770,0.4385,0.6975,0.6975,-1,-1,-1,0,29044,0.1800
iid784,784,10000,uniform2,2.000,196,0,196,0.1430,0.2780,0.4240,0.5985,0.8265,0.8265,-1,-1,-1,0,25394,0.2233
iid784,784,10000,uniform4,4.000,392,0,392,0.4365,0.6625,0.7980,0.8990,0.9630,0.9630,500,500,-1,1,18584,0.7533
iid784,784,10000,had_c1_pad,1.306,128,0,128,0.0875,0.1855,0.3185,0.4930,0.7730,0.7730,-1,-1,-1,0,296156,0.1300
iid784,784,10000,had_c2_preserve,1.000,98,0,98,0.0800,0.1805,0.3010,0.4705,0.7295,0.7295,-1,-1,-1,0,236309,0.1100
iid784,784,10000,rabitq_insp,1.000,98,8,106,0.3090,0.5245,0.7115,0.8695,0.9675,0.9675,500,500,-1,1,189672,0.2800
iid784,784,10000,fp32,32.000,3136,0,3136,0.4775,0.6735,0.8145,0.9095,0.9695,0.9695,200,500,-1,1,14974,1.0000
iid256,256,12000,uniform1,1.000,32,0,32,0.0835,0.1955,0.3220,0.5050,0.7575,0.7575,-1,-1,-1,0,11739,0.1500
iid256,256,12000,uniform2,2.000,64,0,64,0.1420,0.2950,0.4445,0.6445,0.8465,0.8465,-1,-1,-1,0,10994,0.2033
iid256,256,12000,uniform4,4.000,128,0,128,0.4880,0.6985,0.8215,0.9135,0.9715,0.9715,200,500,500,1,8149,0.7267
iid256,256,12000,had_c1_pad,1.000,32,0,32,0.0975,0.2120,0.3310,0.5275,0.7645,0.7645,-1,-1,-1,0,87661,0.1400
iid256,256,12000,had_c2_preserve,1.000,32,0,32,0.0975,0.2120,0.3310,0.5275,0.7645,0.7645,-1,-1,-1,0,87946,0.1400
iid256,256,12000,rabitq_insp,1.000,32,8,40,0.2975,0.5155,0.7015,0.8595,0.9655,0.9655,500,500,-1,1,78550,0.2733
iid256,256,12000,fp32,32.000,1024,0,1024,0.4955,0.7030,0.8395,0.9235,0.9770,0.9770,200,500,500,1,5578,1.0000
