dataset,dim,N,rep,graph_mode,eff_bits,code_bytes,sidecar_bytes,total_bytes,rotation_global_bytes,flat_top10_fidelity,build_ms,rotation_ms,recall_ef10,recall_ef20,recall_ef30,recall_ef50,recall_ef75,recall_ef100,recall_ef150,recall_ef200,recall_ef300,recall_ef500,recall_ef750,recall_ef1000,ef90,ef95,ef97,ef99,mae,rmse,p95_abs_err
fmnist784,784,20000,fp32,native,32.000,0,0,0,0,1.0000,12058,0,0.9635,0.9915,0.9965,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,10,20,20,0.0000,0.0000,0.0000
fmnist784,784,20000,bbq_1bit,native,1.224,104,16,120,0,0.5150,2466,0,0.5000,0.7005,0.8060,0.8935,0.9460,0.9675,0.9855,0.9940,0.9990,0.9995,1.0000,1.0000,75,100,150,200,122.0686,154.3857,303.4686
fmnist784,784,20000,rht_bbq_1bit,native,1.224,104,16,120,20,0.7675,2136,86,0.7465,0.9345,0.9750,0.9940,0.9985,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,45.4163,59.7511,114.9483
fmnist784,784,20000,osq_dequant_l2,native,1.000,98,8,106,0,0.5500,11344,0,0.4860,0.6660,0.7690,0.8625,0.9165,0.9430,0.9705,0.9835,0.9945,0.9980,0.9985,0.9990,75,150,150,300,170.2822,212.0645,421.5721
fmnist784,784,20000,rabitq_insp,native,1.000,98,8,106,0,0.7587,114682,0,0.7500,0.9330,0.9760,0.9955,0.9980,0.9990,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,35.4301,47.5661,91.6407
iid784,784,15000,fp32,native,32.000,0,0,0,0,1.0000,24577,0,0.2805,0.4170,0.4935,0.6080,0.6980,0.7475,0.8345,0.8725,0.9180,0.9510,0.9645,0.9770,300,500,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,bbq_1bit,native,1.224,104,16,120,0,0.2800,4208,0,0.1560,0.2730,0.3465,0.4620,0.5735,0.6475,0.7475,0.8085,0.8720,0.9285,0.9585,0.9750,500,750,1000,-1,0.3958,0.4993,0.9962
iid784,784,15000,rht_bbq_1bit,native,1.224,104,16,120,20,0.3237,4287,50,0.1715,0.2725,0.3415,0.4750,0.5695,0.6380,0.7385,0.7985,0.8685,0.9230,0.9585,0.9720,500,750,1000,-1,0.3991,0.5034,1.0066
iid784,784,15000,osq_dequant_l2,native,1.000,98,8,106,0,0.3175,24570,0,0.1835,0.2880,0.3565,0.4640,0.5740,0.6395,0.7275,0.7815,0.8485,0.9165,0.9510,0.9590,500,750,-1,-1,3.7632,3.7984,4.5851
iid784,784,15000,rabitq_insp,native,1.000,98,8,106,0,0.3000,306238,0,0.1600,0.2690,0.3420,0.4675,0.5830,0.6540,0.7510,0.8095,0.8820,0.9405,0.9640,0.9740,500,750,1000,-1,0.4266,0.5298,1.0423
