dataset,dim,n,queries,seed,graph_builder,scorer,rotation,centering,candrec_k10,candrec_k20,candrec_k30,candrec_k50,candrec_k75,candrec_k100,candrec_k150,candrec_k200,candrec_k300,candrec_k500,candrec_k750,candrec_k1000,k_at_90,k_at_95,k_at_97,k_at_99
fmnist784,784,20000,200,-1,common_fp32_graph,fp32_flat,none,centered,0.9635,0.9915,0.9965,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,10,20,20
fmnist784,784,20000,200,-1,common_fp32_graph,bbq_1bit,none,centered,0.5195,0.7085,0.8185,0.9000,0.9525,0.9730,0.9900,0.9950,0.9985,0.9995,1.0000,1.0000,50,75,100,150
fmnist784,784,20000,200,1234567,common_fp32_graph,oldrht_bbq,old_rht,centered,0.7515,0.9365,0.9775,0.9960,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50
fmnist784,784,20000,200,1234567,common_fp32_graph,l16092_bbq,lucene_16092,centered,0.7475,0.9320,0.9740,0.9930,0.9985,0.9995,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50
fmnist784,784,20000,200,2345678,common_fp32_graph,oldrht_bbq,old_rht,centered,0.7495,0.9360,0.9825,0.9975,0.9990,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50
fmnist784,784,20000,200,2345678,common_fp32_graph,l16092_bbq,lucene_16092,centered,0.7530,0.9395,0.9790,0.9975,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50
fmnist784,784,20000,200,3456789,common_fp32_graph,oldrht_bbq,old_rht,centered,0.7535,0.9375,0.9770,0.9940,0.9965,0.9990,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50
fmnist784,784,20000,200,3456789,common_fp32_graph,l16092_bbq,lucene_16092,centered,0.7600,0.9425,0.9850,0.9955,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50
iid784,784,15000,200,-1,common_fp32_graph,fp32_flat,none,centered,0.2805,0.4170,0.4935,0.6080,0.6980,0.7475,0.8345,0.8725,0.9180,0.9510,0.9645,0.9770,300,500,1000,-1
iid784,784,15000,200,-1,common_fp32_graph,bbq_1bit,none,centered,0.1815,0.2985,0.3705,0.4890,0.5890,0.6630,0.7415,0.8065,0.8670,0.9245,0.9580,0.9715,500,750,1000,-1
iid784,784,15000,200,1234567,common_fp32_graph,oldrht_bbq,old_rht,centered,0.1700,0.2805,0.3525,0.4695,0.5700,0.6410,0.7380,0.7915,0.8595,0.9230,0.9630,0.9750,500,750,1000,-1
iid784,784,15000,200,1234567,common_fp32_graph,l16092_bbq,lucene_16092,centered,0.1770,0.2885,0.3635,0.4915,0.5915,0.6595,0.7425,0.7990,0.8740,0.9310,0.9595,0.9740,500,750,1000,-1
iid784,784,15000,200,2345678,common_fp32_graph,oldrht_bbq,old_rht,centered,0.1730,0.2845,0.3630,0.4960,0.5960,0.6525,0.7455,0.8060,0.8705,0.9295,0.9625,0.9745,500,750,1000,-1
iid784,784,15000,200,2345678,common_fp32_graph,l16092_bbq,lucene_16092,centered,0.1825,0.2875,0.3725,0.4825,0.5890,0.6615,0.7485,0.8065,0.8725,0.9240,0.9590,0.9720,500,750,1000,-1
iid784,784,15000,200,3456789,common_fp32_graph,oldrht_bbq,old_rht,centered,0.1785,0.2905,0.3630,0.4850,0.5810,0.6535,0.7550,0.8090,0.8675,0.9230,0.9545,0.9715,500,750,1000,-1
iid784,784,15000,200,3456789,common_fp32_graph,l16092_bbq,lucene_16092,centered,0.1860,0.2915,0.3810,0.4925,0.5870,0.6660,0.7530,0.8070,0.8690,0.9305,0.9525,0.9670,500,750,-1,-1
