dataset,dim,n,queries,seed,graph_builder,scorer,rotation,centering,code_bytes,sidecar_bytes,effective_bits_per_dim,rotation_global_bytes,flat_recall_at_10,build_ms,rotation_ms,candrec_k10,candrec_k20,candrec_k30,candrec_k50,candrec_k75,candrec_k100,candrec_k150,candrec_k200,candrec_k300,candrec_k500,candrec_k750,candrec_k1000,k_at_90,k_at_95,k_at_97,k_at_99,mae,rmse,p95_error
fmnist784,784,20000,200,-1,hnsw_native,fp32_flat,none,centered,3136,0,32.000,0,1.0000,11808,0,0.9635,0.9915,0.9965,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,10,20,20,0.0000,0.0000,0.0000
fmnist784,784,20000,200,-1,hnsw_native,bbq_1bit,none,centered,98,16,1.163,0,0.5150,2126,0,0.5000,0.7005,0.8060,0.8935,0.9460,0.9675,0.9855,0.9940,0.9990,0.9995,1.0000,1.0000,75,100,150,200,122.0686,154.3857,303.4686
fmnist784,784,20000,200,1234567,hnsw_native,oldrht_bbq,old_rht,centered,98,16,1.163,20,0.7675,1854,0,0.7465,0.9345,0.9750,0.9940,0.9985,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,45.4163,59.7511,114.9483
fmnist784,784,20000,200,1234567,hnsw_native,l16092_bbq,lucene_16092,centered,98,16,1.163,8,0.7537,1894,0,0.7415,0.9295,0.9740,0.9945,0.9985,0.9995,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,41.0710,54.2058,109.2616
fmnist784,784,20000,200,2345678,hnsw_native,oldrht_bbq,old_rht,centered,98,16,1.163,20,0.7512,1938,0,0.7340,0.9305,0.9805,0.9960,0.9985,0.9985,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,48.6042,65.3126,135.6662
fmnist784,784,20000,200,2345678,hnsw_native,l16092_bbq,lucene_16092,centered,98,16,1.163,8,0.7675,1724,0,0.7485,0.9345,0.9770,0.9960,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,40.6443,53.1102,111.0826
fmnist784,784,20000,200,3456789,hnsw_native,oldrht_bbq,old_rht,centered,98,16,1.163,20,0.7637,1735,0,0.7425,0.9335,0.9715,0.9910,0.9955,0.9980,0.9990,0.9995,0.9995,1.0000,1.0000,1.0000,20,30,30,50,46.7074,62.8740,134.3742
fmnist784,784,20000,200,3456789,hnsw_native,l16092_bbq,lucene_16092,centered,98,16,1.163,8,0.7812,1714,0,0.7515,0.9440,0.9815,0.9930,0.9980,0.9990,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,39.6013,52.9413,107.9158
iid784,784,15000,200,-1,hnsw_native,fp32_flat,none,centered,3136,0,32.000,0,1.0000,24244,0,0.2805,0.4170,0.4935,0.6080,0.6980,0.7475,0.8345,0.8725,0.9180,0.9510,0.9645,0.9770,300,500,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,-1,hnsw_native,bbq_1bit,none,centered,98,16,1.163,0,0.2800,3009,0,0.1560,0.2730,0.3465,0.4620,0.5735,0.6475,0.7475,0.8085,0.8720,0.9285,0.9585,0.9750,500,750,1000,-1,0.3958,0.4993,0.9962
iid784,784,15000,200,1234567,hnsw_native,oldrht_bbq,old_rht,centered,98,16,1.163,20,0.3237,2982,0,0.1715,0.2725,0.3415,0.4750,0.5695,0.6380,0.7385,0.7985,0.8685,0.9230,0.9585,0.9720,500,750,1000,-1,0.3991,0.5034,1.0066
iid784,784,15000,200,1234567,hnsw_native,l16092_bbq,lucene_16092,centered,98,16,1.163,8,0.2738,3012,0,0.1755,0.2735,0.3510,0.4685,0.5725,0.6310,0.7350,0.8000,0.8805,0.9380,0.9640,0.9765,500,750,1000,-1,0.3911,0.4937,0.9832
iid784,784,15000,200,2345678,hnsw_native,oldrht_bbq,old_rht,centered,98,16,1.163,20,0.2975,2987,0,0.1555,0.2700,0.3630,0.4845,0.5780,0.6570,0.7590,0.8075,0.8695,0.9345,0.9645,0.9795,500,750,1000,-1,0.4059,0.5057,0.9784
iid784,784,15000,200,2345678,hnsw_native,l16092_bbq,lucene_16092,centered,98,16,1.163,8,0.3138,2992,0,0.1840,0.2835,0.3635,0.4820,0.5810,0.6595,0.7630,0.8230,0.8855,0.9285,0.9640,0.9760,500,750,1000,-1,0.4140,0.5181,0.9965
iid784,784,15000,200,3456789,hnsw_native,oldrht_bbq,old_rht,centered,98,16,1.163,20,0.2863,2986,0,0.1595,0.2765,0.3520,0.4790,0.5940,0.6565,0.7540,0.8080,0.8770,0.9380,0.9625,0.9780,500,750,1000,-1,0.4148,0.5135,1.0174
iid784,784,15000,200,3456789,hnsw_native,l16092_bbq,lucene_16092,centered,98,16,1.163,8,0.3075,3033,0,0.1705,0.2860,0.3645,0.4835,0.5785,0.6540,0.7595,0.8090,0.8885,0.9455,0.9655,0.9780,500,750,1000,-1,0.4072,0.5095,0.9684
