dataset,dim,n,queries,seed,scorer,rotation,centering,graph_mode,code_bytes,sidecar_bytes,effective_bits_per_dim,flat_recall_at_10,candrec_k10,candrec_k20,candrec_k30,candrec_k50,candrec_k75,candrec_k100,candrec_k150,candrec_k200,candrec_k300,candrec_k500,candrec_k750,candrec_k1000,k_at_90,k_at_95,k_at_97,k_at_99,mae,rmse,p95_error
fmnist784,784,20000,200,71,A_centered,none,centered,common_fp32_graph,98,16,1.163,0.5150,0.5195,0.7085,0.8185,0.9000,0.9525,0.9730,0.9900,0.9950,0.9985,0.9995,1.0000,1.0000,50,75,100,150,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,B_datablind,none,data_blind,common_fp32_graph,98,16,1.163,0.5800,0.5580,0.7750,0.8710,0.9370,0.9680,0.9780,0.9855,0.9900,0.9930,0.9970,0.9985,0.9990,50,75,100,200,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,C_16092_centered,lucene_16092,centered,common_fp32_graph,98,16,1.163,0.7537,0.7475,0.9320,0.9740,0.9930,0.9985,0.9995,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,D_16092_datablind,lucene_16092,data_blind,common_fp32_graph,98,16,1.163,0.6625,0.6305,0.8445,0.9185,0.9660,0.9845,0.9925,0.9975,0.9990,1.0000,1.0000,1.0000,1.0000,30,50,75,100,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,C_16092_centered,lucene_16092,centered,common_fp32_graph,98,16,1.163,0.7675,0.7530,0.9395,0.9790,0.9975,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,D_16092_datablind,lucene_16092,data_blind,common_fp32_graph,98,16,1.163,0.6413,0.6375,0.8390,0.9100,0.9670,0.9875,0.9935,0.9990,0.9995,1.0000,1.0000,1.0000,1.0000,30,50,75,100,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,C_16092_centered,lucene_16092,centered,common_fp32_graph,98,16,1.163,0.7812,0.7600,0.9425,0.9850,0.9955,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,0.0000,0.0000,0.0000
fmnist784,784,20000,200,71,D_16092_datablind,lucene_16092,data_blind,common_fp32_graph,98,16,1.163,0.6475,0.6425,0.8410,0.9170,0.9675,0.9860,0.9925,0.9985,1.0000,1.0000,1.0000,1.0000,1.0000,30,50,75,100,0.0000,0.0000,0.0000
iid784,784,15000,200,71,A_centered,none,centered,common_fp32_graph,98,16,1.163,0.2800,0.1815,0.2985,0.3705,0.4890,0.5890,0.6630,0.7415,0.8065,0.8670,0.9245,0.9580,0.9715,500,750,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,B_datablind,none,data_blind,common_fp32_graph,98,16,1.163,0.2900,0.1760,0.2980,0.3860,0.5000,0.5965,0.6580,0.7500,0.8045,0.8725,0.9235,0.9565,0.9725,500,750,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,C_16092_centered,lucene_16092,centered,common_fp32_graph,98,16,1.163,0.2738,0.1770,0.2885,0.3635,0.4915,0.5915,0.6595,0.7425,0.7990,0.8740,0.9310,0.9595,0.9740,500,750,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,D_16092_datablind,lucene_16092,data_blind,common_fp32_graph,98,16,1.163,0.2738,0.1810,0.2865,0.3635,0.4870,0.5830,0.6510,0.7440,0.7995,0.8720,0.9335,0.9585,0.9730,500,750,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,C_16092_centered,lucene_16092,centered,common_fp32_graph,98,16,1.163,0.3138,0.1825,0.2875,0.3725,0.4825,0.5890,0.6615,0.7485,0.8065,0.8725,0.9240,0.9590,0.9720,500,750,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,D_16092_datablind,lucene_16092,data_blind,common_fp32_graph,98,16,1.163,0.3163,0.1790,0.2865,0.3750,0.4895,0.5950,0.6620,0.7550,0.8130,0.8680,0.9240,0.9580,0.9725,500,750,1000,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,C_16092_centered,lucene_16092,centered,common_fp32_graph,98,16,1.163,0.3075,0.1860,0.2915,0.3810,0.4925,0.5870,0.6660,0.7530,0.8070,0.8690,0.9305,0.9525,0.9670,500,750,-1,-1,0.0000,0.0000,0.0000
iid784,784,15000,200,71,D_16092_datablind,lucene_16092,data_blind,common_fp32_graph,98,16,1.163,0.3100,0.1875,0.2940,0.3860,0.5065,0.5960,0.6645,0.7500,0.8075,0.8765,0.9260,0.9550,0.9680,500,750,-1,-1,0.0000,0.0000,0.0000
