dataset,dim,n,queries,seed,scorer,rotation,centering,graph_mode,code_bytes,sidecar_bytes,effective_bits_per_dim,flat_recall_at_10,candrec_k10,candrec_k20,candrec_k30,candrec_k50,candrec_k75,candrec_k100,candrec_k150,candrec_k200,candrec_k300,candrec_k500,candrec_k750,candrec_k1000,k_at_90,k_at_95,k_at_97,k_at_99,mae,rmse,p95_error
fmnist784,784,20000,200,71,A_centered,none,centered,hnsw_native,98,16,1.163,0.5150,0.5000,0.7005,0.8060,0.8935,0.9460,0.9675,0.9855,0.9940,0.9990,0.9995,1.0000,1.0000,75,100,150,200,122.0686,154.3857,303.4686
fmnist784,784,20000,200,71,B_datablind,none,data_blind,hnsw_native,98,16,1.163,0.5800,0.5475,0.7645,0.8540,0.9345,0.9640,0.9760,0.9825,0.9880,0.9915,0.9955,0.9975,0.9980,50,75,100,300,57.4183,84.4197,187.9676
fmnist784,784,20000,200,71,C_16092_centered,lucene_16092,centered,hnsw_native,98,16,1.163,0.7537,0.7415,0.9295,0.9740,0.9945,0.9985,0.9995,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,41.0710,54.2058,109.2616
fmnist784,784,20000,200,71,D_16092_datablind,lucene_16092,data_blind,hnsw_native,98,16,1.163,0.6625,0.6270,0.8360,0.9125,0.9625,0.9820,0.9890,0.9945,0.9960,0.9975,0.9980,0.9980,0.9985,30,50,75,150,128.5904,167.3625,326.7111
fmnist784,784,20000,200,71,C_16092_centered,lucene_16092,centered,hnsw_native,98,16,1.163,0.7675,0.7485,0.9345,0.9770,0.9960,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,40.6443,53.1102,111.0826
fmnist784,784,20000,200,71,D_16092_datablind,lucene_16092,data_blind,hnsw_native,98,16,1.163,0.6413,0.6320,0.8340,0.9090,0.9655,0.9855,0.9925,0.9980,0.9995,1.0000,1.0000,1.0000,1.0000,30,50,75,100,118.9521,156.8080,329.0720
fmnist784,784,20000,200,71,C_16092_centered,lucene_16092,centered,hnsw_native,98,16,1.163,0.7812,0.7515,0.9440,0.9815,0.9930,0.9980,0.9990,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20,30,30,50,39.6013,52.9413,107.9158
fmnist784,784,20000,200,71,D_16092_datablind,lucene_16092,data_blind,hnsw_native,98,16,1.163,0.6475,0.6285,0.8325,0.9155,0.9670,0.9855,0.9930,0.9985,1.0000,1.0000,1.0000,1.0000,1.0000,30,50,75,100,139.4223,174.3711,352.7946
iid784,784,15000,200,71,A_centered,none,centered,hnsw_native,98,16,1.163,0.2800,0.1560,0.2730,0.3465,0.4620,0.5735,0.6475,0.7475,0.8085,0.8720,0.9285,0.9585,0.9750,500,750,1000,-1,0.3958,0.4993,0.9962
iid784,784,15000,200,71,B_datablind,none,data_blind,hnsw_native,98,16,1.163,0.2900,0.1685,0.2780,0.3610,0.4725,0.5780,0.6500,0.7530,0.8125,0.8710,0.9300,0.9605,0.9770,500,750,1000,-1,0.3950,0.5000,0.9993
iid784,784,15000,200,71,C_16092_centered,lucene_16092,centered,hnsw_native,98,16,1.163,0.2738,0.1755,0.2735,0.3510,0.4685,0.5725,0.6310,0.7350,0.8000,0.8805,0.9380,0.9640,0.9765,500,750,1000,-1,0.3911,0.4937,0.9832
iid784,784,15000,200,71,D_16092_datablind,lucene_16092,data_blind,hnsw_native,98,16,1.163,0.2738,0.1605,0.2810,0.3565,0.4745,0.5730,0.6545,0.7485,0.8070,0.8815,0.9395,0.9670,0.9785,500,750,1000,-1,0.3874,0.4878,1.0233
iid784,784,15000,200,71,C_16092_centered,lucene_16092,centered,hnsw_native,98,16,1.163,0.3138,0.1840,0.2835,0.3635,0.4820,0.5810,0.6595,0.7630,0.8230,0.8855,0.9285,0.9640,0.9760,500,750,1000,-1,0.4140,0.5181,0.9965
iid784,784,15000,200,71,D_16092_datablind,lucene_16092,data_blind,hnsw_native,98,16,1.163,0.3163,0.1850,0.2880,0.3710,0.4875,0.5830,0.6590,0.7575,0.8205,0.8740,0.9320,0.9600,0.9760,500,750,1000,-1,0.4160,0.5229,1.0111
iid784,784,15000,200,71,C_16092_centered,lucene_16092,centered,hnsw_native,98,16,1.163,0.3075,0.1705,0.2860,0.3645,0.4835,0.5785,0.6540,0.7595,0.8090,0.8885,0.9455,0.9655,0.9780,500,750,1000,-1,0.4072,0.5095,0.9684
iid784,784,15000,200,71,D_16092_datablind,lucene_16092,data_blind,hnsw_native,98,16,1.163,0.3100,0.1735,0.2875,0.3700,0.4890,0.5890,0.6570,0.7485,0.8075,0.8850,0.9355,0.9640,0.9775,500,750,1000,-1,0.4027,0.5065,0.9793
