dataset,dim,query_id,ranking_est,bound_est,correction,confidence,adaptive_depth,adaptive_factor,stopped_by_bound,hit_max_fallback,false_safe,pool_has_true_topk,recall_at_k,pool_recall_at_k,oracle_depth,boundary_margin,rel_margin,difficulty
sift_real,128,0,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,234,1071,0.004867,medium
sift_real,128,1,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,970,111.0,0.004809,hard
sift_real,128,2,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,219,152.0,0.02987,hard
sift_real,128,3,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,411,237.0,0.003342,hard
sift_real,128,4,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,307,327.0,8.604e-05,medium
sift_real,128,5,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,917,212.0,0.007974,hard
sift_real,128,6,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,827,405.0,0.03419,medium
sift_real,128,7,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,115,2434,0.005890,easy
sift_real,128,8,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,741,591.0,0.004364,medium
sift_real,128,9,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,948,986.0,0.002844,medium
sift_real,128,10,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,672,150.0,0.009807,hard
sift_real,128,11,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,534,1060,0.01385,medium
sift_real,128,12,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,379,1170,0.0002927,easy
sift_real,128,13,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,317,290.0,0.002565,medium
sift_real,128,14,HAMMING,HAMMING,none,0.99,1000,100.00,true,false,false,true,1.000,1.000,129,490.0,0.02819,medium
