dataset,dim,ranking_est,bound_est,correction,query_count,recall,pool_recall,false_safe_rate,min_depth_stop_rate,max_fallback_rate,mean_depth,p50_depth,p95_depth,p99_depth,mean_oversample,oracle_mean_depth,fixed10_rec,fixed20_rec,fixed50_rec,fixed100_rec,savings_vs_best_fixed_at_recall,cover95_boundary
sift_real,128,HAMMING,HAMMING,none,100,0.9900,1.0000,0.0000,0.0000,0.0000,1000.0,1000,1000,1000,100.00,341.6,0.331,0.436,0.626,0.761,-9.000,1.000
sift_real,128,HAMMING,HAMMING,bonferroni,100,0.9900,1.0000,0.0000,0.0000,0.0000,1000.0,1000,1000,1000,100.00,341.6,0.331,0.436,0.626,0.761,-9.000,1.000
sift_real,128,ADC,ADC,none,100,0.9770,0.9780,0.0600,0.0400,0.0000,940.7,1000,1000,1000,94.07,166.7,0.418,0.586,0.790,0.908,-8.407,0.964
sift_real,128,ADC,ADC,bonferroni,100,0.9990,1.0000,0.0000,0.0000,0.0000,999.9,1000,1000,1000,99.99,166.7,0.418,0.586,0.790,0.908,-8.999,0.964
sift_real,128,ADC,HAMMING,none,100,0.9990,1.0000,0.0000,0.0000,0.0000,999.9,1000,1000,1000,99.99,166.7,0.418,0.586,0.790,0.908,-8.999,0.999
sift_real,128,ADC,HAMMING,bonferroni,100,0.9990,1.0000,0.0000,0.0000,0.0000,999.9,1000,1000,1000,99.99,166.7,0.418,0.586,0.790,0.908,-8.999,0.999
isotropic,768,HAMMING,HAMMING,none,100,0.6780,0.9630,0.1300,0.0000,0.0000,925.6,1000,1000,1000,92.56,795.4,0.070,0.110,0.191,0.267,-8.256,0.978
isotropic,768,HAMMING,HAMMING,bonferroni,100,0.7090,1.0000,0.0000,0.0000,0.0000,999.5,1000,1000,1000,99.95,795.4,0.070,0.110,0.191,0.267,-8.995,0.978
isotropic,768,ADC,ADC,none,100,0.6540,0.7140,0.8900,0.0000,0.0000,323.1,271,1000,1000,32.31,697.0,0.128,0.204,0.321,0.423,-2.231,0.889
isotropic,768,ADC,ADC,bonferroni,100,0.9030,0.9980,0.0200,0.0000,0.0000,995.3,997,1000,1000,99.53,697.0,0.128,0.204,0.321,0.423,-8.953,0.889
isotropic,768,ADC,HAMMING,none,100,0.9040,0.9980,0.0200,0.0000,0.0000,989.8,1000,1000,1000,98.98,697.0,0.128,0.204,0.321,0.423,-8.898,0.948
isotropic,768,ADC,HAMMING,bonferroni,100,0.9040,0.9990,0.0100,0.0000,0.0000,999.4,1000,1000,1000,99.94,697.0,0.128,0.204,0.321,0.423,-8.994,0.948
clustered,128,HAMMING,HAMMING,none,100,0.4360,0.9850,0.0300,0.0000,0.0000,970.0,1000,1000,1000,97.00,836.0,0.014,0.021,0.046,0.080,-8.700,0.990
clustered,128,HAMMING,HAMMING,bonferroni,100,0.4460,1.0000,0.0000,0.0000,0.0000,999.9,1000,1000,1000,99.99,836.0,0.014,0.021,0.046,0.080,-8.999,0.990
clustered,128,ADC,ADC,none,100,0.5030,0.8020,0.2800,0.0200,0.0000,767.7,1000,1000,1000,76.77,803.4,0.029,0.049,0.094,0.152,-6.677,0.814
clustered,128,ADC,ADC,bonferroni,100,0.6740,1.0000,0.0000,0.0000,0.0000,997.0,1000,1000,1000,99.70,803.4,0.029,0.049,0.094,0.152,-8.970,0.814
clustered,128,ADC,HAMMING,none,100,0.6740,1.0000,0.0000,0.0000,0.0000,995.9,1000,1000,1000,99.59,803.4,0.029,0.049,0.094,0.152,-8.959,0.978
clustered,128,ADC,HAMMING,bonferroni,100,0.6740,1.0000,0.0000,0.0000,0.0000,999.8,1000,1000,1000,99.98,803.4,0.029,0.049,0.094,0.152,-8.998,0.978
