estimator,target,segment,per_segment_depth,per_segment_recall,global_depth,global_recall_on_segment,global_meets
ADC,0.90,sift_real,150,0.9124,1000,0.9980,true
ADC,0.90,isotropic,1000,0.8860,1000,0.8860,false
ADC,0.90,clustered,1000,0.6828,1000,0.6828,false
ADC,0.95,sift_real,300,0.9636,1000,0.9980,true
ADC,0.95,isotropic,1000,0.8860,1000,0.8860,false
ADC,0.95,clustered,1000,0.6828,1000,0.6828,false
ADC,0.99,sift_real,500,0.9920,1000,0.9980,true
ADC,0.99,isotropic,1000,0.8860,1000,0.8860,false
ADC,0.99,clustered,1000,0.6828,1000,0.6828,false
HAMMING,0.90,sift_real,500,0.9460,1000,0.9844,true
HAMMING,0.90,isotropic,1000,0.7256,1000,0.7256,false
HAMMING,0.90,clustered,1000,0.4576,1000,0.4576,false
HAMMING,0.95,sift_real,1000,0.9844,1000,0.9844,true
HAMMING,0.95,isotropic,1000,0.7256,1000,0.7256,false
HAMMING,0.95,clustered,1000,0.4576,1000,0.4576,false
HAMMING,0.99,sift_real,1000,0.9844,1000,0.9844,false
HAMMING,0.99,isotropic,1000,0.7256,1000,0.7256,false
HAMMING,0.99,clustered,1000,0.4576,1000,0.4576,false
CORRECTED,0.90,sift_real,1000,0.9780,500,0.8940,false
CORRECTED,0.90,isotropic,200,0.9316,500,0.9836,true
CORRECTED,0.90,clustered,1000,0.9400,500,0.8376,false
CORRECTED,0.95,sift_real,1000,0.9780,1000,0.9780,true
CORRECTED,0.95,isotropic,300,0.9620,1000,0.9964,true
CORRECTED,0.95,clustered,1000,0.9400,1000,0.9400,false
CORRECTED,0.99,sift_real,1000,0.9780,1000,0.9780,false
CORRECTED,0.99,isotropic,1000,0.9964,1000,0.9964,true
CORRECTED,0.99,clustered,1000,0.9400,1000,0.9400,false
