dataset,estimator,k,pool,target,mode,cal_qcount,mean_selected_depth,std_selected_depth,mean_heldout_recall,worst_heldout_recall,sla_miss_rate,best_fixed_depth,oracle_mean_depth,min100_recall,savings_vs_min100,savings_vs_fullpool,gap_to_best_fixed,gap_to_oracle,pool_recall
sift_real,ADC,10,1000,0.90,mean,200,150.0,0.0,0.9124,0.8860,0.40,150,205.2,0.8636,-0.500,0.850,0,-55.2,0.9980
sift_real,ADC,10,1000,0.90,conservative,200,190.0,20.0,0.9308,0.8860,0.20,150,205.2,0.8636,-0.900,0.810,40,-15.2,0.9980
sift_real,ADC,10,1000,0.95,mean,200,300.0,0.0,0.9636,0.9520,0.00,300,205.2,0.8636,-2.000,0.700,0,94.8,0.9980
sift_real,ADC,10,1000,0.95,conservative,200,420.0,98.0,0.9780,0.9520,0.00,300,205.2,0.8636,-3.200,0.580,120,214.8,0.9980
sift_real,ADC,10,1000,0.99,mean,200,500.0,0.0,0.9920,0.9840,0.20,500,205.2,0.8636,-4.000,0.500,0,294.8,0.9980
sift_real,ADC,10,1000,0.99,conservative,200,1000.0,0.0,0.9980,0.9960,0.00,500,205.2,0.8636,-9.000,0.000,500,794.8,0.9980
sift_real,HAMMING,10,1000,0.90,mean,200,460.0,80.0,0.9332,0.8680,0.20,500,363.2,0.7144,-3.600,0.540,-40,96.8,0.9844
sift_real,HAMMING,10,1000,0.90,conservative,200,500.0,0.0,0.9460,0.9320,0.00,500,363.2,0.7144,-4.000,0.500,0,136.8,0.9844
sift_real,HAMMING,10,1000,0.95,mean,200,1000.0,0.0,0.9844,0.9820,0.00,1000,363.2,0.7144,-9.000,0.000,0,636.8,0.9844
sift_real,HAMMING,10,1000,0.95,conservative,200,1000.0,0.0,0.9844,0.9820,0.00,1000,363.2,0.7144,-9.000,0.000,0,636.8,0.9844
sift_real,HAMMING,10,1000,0.99,mean,200,1000.0,0.0,0.9844,0.9820,0.80,1000,363.2,0.7144,-9.000,0.000,0,636.8,0.9844
