estimator,datatype,dim,slope_a,intercept_b,resid_std_norm,skew,exkurt,sigma_lowbin,sigma_highbin,cover90,cover95,cover99
Hamming,isotropic,128,2.574,93.25,0.8892,0.247,0.042,0.8566,0.9248,0.901,0.951,0.990
ADC,isotropic,128,0.5007,76.09,0.7353,0.226,0.090,0.7007,0.7661,0.902,0.950,0.989
Hamming,isotropic,768,2.522,564.2,0.9038,0.163,-0.008,0.8914,0.9187,0.901,0.950,0.990
ADC,isotropic,768,0.4693,528.1,0.7046,0.091,0.023,0.6898,0.7208,0.900,0.951,0.990
Hamming,isotropic,1536,2.561,1100,0.8916,0.118,-0.044,0.8794,0.9012,0.901,0.951,0.991
ADC,isotropic,1536,0.4979,934.2,0.7324,0.055,-0.009,0.7101,0.7406,0.900,0.950,0.990
Hamming,anisotropic,128,3458,1.269e+05,0.9662,0.485,0.413,0.9143,1.0241,0.907,0.953,0.988
ADC,anisotropic,128,0.0002881,1.747e+05,0.8032,0.702,0.864,0.7749,0.8394,0.913,0.954,0.984
Hamming,anisotropic,768,3371,7.543e+05,0.9931,0.507,0.310,0.9734,1.0153,0.906,0.954,0.988
ADC,anisotropic,768,0.0002945,1.019e+06,0.7368,0.748,0.849,0.7271,0.7449,0.915,0.955,0.984
Hamming,anisotropic,1536,3203,1.525e+06,0.9967,0.587,0.667,0.9810,1.0154,0.907,0.952,0.986
ADC,anisotropic,1536,0.0002938,2.050e+06,0.7527,0.842,1.403,0.7497,0.7518,0.915,0.955,0.983
Hamming,clustered,128,103.7,2684,0.8809,0.249,-0.173,0.8270,0.9278,0.900,0.952,0.992
ADC,clustered,128,0.01036,4705,0.9028,0.289,0.014,0.8509,0.9449,0.902,0.952,0.992
Hamming,clustered,768,102.8,1.755e+04,0.8750,0.004,-0.091,0.8611,0.8931,0.903,0.950,0.991
ADC,clustered,768,0.01023,2.839e+04,0.8798,0.044,-0.263,0.8662,0.9120,0.902,0.957,0.994
Hamming,clustered,1536,101.1,3.596e+04,0.8791,0.121,-0.127,0.8918,0.8818,0.905,0.953,0.991
ADC,clustered,1536,0.01057,5.494e+04,0.8278,0.078,0.080,0.7862,0.8557,0.904,0.954,0.988
Hamming,sift_real,128,6328,-6.478e+04,0.5417,0.399,0.131,0.4317,0.4586,0.904,0.951,0.988
ADC,sift_real,128,0.0001406,1.828e+05,0.9865,-0.240,-1.333,0.9469,0.9857,0.960,0.992,1.000
