dataset,dim,bound_estimator,correction,query_id,corrected_pred,sigma_j_mean,residual_rmse,std_resid_std,adaptive_depth,oracle_depth,best_fixed_depth,stopped_by_bound,false_safe,recall,difficulty
sift_real,128,ADC,none,0,2.872e+05,1.096e+05,1.364e+05,0.000,1000,98,100,true,false,1.000,medium
sift_real,128,ADC,none,1,2.806e+05,1.096e+05,1.556e+05,0.000,1000,330,100,true,false,1.000,hard
sift_real,128,ADC,none,2,3.017e+05,1.096e+05,1.901e+05,0.000,1000,55,100,true,false,1.000,hard
sift_real,128,ADC,none,3,2.984e+05,1.096e+05,1.702e+05,0.000,1000,83,100,true,false,1.000,hard
sift_real,128,ADC,none,4,3.001e+05,1.096e+05,1.647e+05,0.000,1000,131,100,true,false,1.000,medium
sift_real,128,ADC,none,5,2.766e+05,1.096e+05,1.199e+05,0.000,1000,254,100,true,false,1.000,hard
sift_real,128,ADC,none,6,2.830e+05,1.096e+05,1.617e+05,0.000,1000,263,100,true,false,1.000,medium
sift_real,128,ADC,none,7,3.124e+05,1.096e+05,1.910e+05,0.000,1000,34,50,true,false,1.000,easy
sift_real,128,ADC,none,8,2.837e+05,1.096e+05,1.685e+05,0.000,1000,819,100,true,false,1.000,medium
sift_real,128,ADC,none,9,2.968e+05,1.096e+05,1.735e+05,0.000,1000,402,100,true,false,1.000,medium
sift_real,128,ADC,none,10,2.883e+05,1.096e+05,1.394e+05,0.000,1000,135,100,true,false,1.000,hard
sift_real,128,ADC,none,11,2.854e+05,1.096e+05,1.916e+05,0.000,1000,156,100,true,false,1.000,medium
sift_real,128,ADC,none,12,2.910e+05,1.096e+05,1.732e+05,0.000,1000,100,100,true,false,1.000,easy
sift_real,128,ADC,none,13,2.939e+05,1.096e+05,1.673e+05,0.000,1000,62,100,true,false,1.000,medium
sift_real,128,ADC,none,14,2.778e+05,1.096e+05,1.381e+05,0.000,1000,107,100,true,false,1.000,medium
sift_real,128,ADC,none,15,2.834e+05,1.096e+05,1.605e+05,0.000,1000,524,100,true,false,1.000,hard
sift_real,128,ADC,none,16,2.826e+05,1.096e+05,1.680e+05,0.000,1000,449,100,true,false,1.000,hard
sift_real,128,ADC,none,17,2.893e+05,1.096e+05,1.730e+05,0.000,1000,309,100,true,false,1.000,hard
sift_real,128,ADC,none,18,2.796e+05,1.096e+05,1.550e+05,0.000,1000,491,100,true,false,1.000,easy
sift_real,128,ADC,none,19,2.870e+05,1.096e+05,1.830e+05,0.000,1000,75,100,true,false,1.000,medium
sift_real,128,ADC,none,20,3.061e+05,1.096e+05,1.929e+05,0.000,1000,49,50,true,false,1.000,easy
sift_real,128,ADC,none,21,3.003e+05,1.096e+05,2.008e+05,0.000,1000,113,100,true,false,1.000,medium
sift_real,128,ADC,none,22,3.006e+05,1.096e+05,2.056e+05,0.000,1000,83,100,true,false,1.000,hard
sift_real,128,ADC,none,23,3.086e+05,1.096e+05,1.823e+05,0.000,1000,153,100,true,false,1.000,hard
sift_real,128,ADC,none,24,2.971e+05,1.096e+05,1.892e+05,0.000,1000,267,100,true,false,1.000,easy
sift_real,128,ADC,none,25,2.988e+05,1.096e+05,1.453e+05,0.000,1000,224,100,true,false,1.000,hard
sift_real,128,ADC,none,26,3.018e+05,1.096e+05,2.000e+05,0.000,1000,93,100,true,false,1.000,easy
sift_real,128,ADC,none,27,3.002e+05,1.096e+05,1.895e+05,0.000,1000,105,100,true,false,1.000,easy
sift_real,128,ADC,none,28,3.030e+05,1.096e+05,1.931e+05,0.000,1000,120,100,true,false,1.000,hard
sift_real,128,ADC,none,29,3.183e+05,1.096e+05,1.909e+05,0.000,1000,22,30,true,false,1.000,easy
sift_real,128,ADC,none,30,2.854e+05,1.096e+05,1.571e+05,0.000,1000,358,100,true,false,1.000,hard
sift_real,128,ADC,none,31,2.963e+05,1.096e+05,1.486e+05,0.000,1000,334,100,true,false,1.000,hard
sift_real,128,ADC,none,32,2.872e+05,1.096e+05,1.538e+05,0.000,1000,59,100,true,false,1.000,hard
sift_real,128,ADC,none,33,2.973e+05,1.096e+05,9.273e+04,0.000,1000,90,100,true,false,1.000,easy
sift_real,128,ADC,none,34,2.898e+05,1.096e+05,1.583e+05,0.000,1000,409,100,true,false,1.000,medium
sift_real,128,ADC,none,35,2.732e+05,1.096e+05,1.232e+05,0.000,1000,300,100,true,false,1.000,medium
sift_real,128,ADC,none,36,2.770e+05,1.096e+05,1.395e+05,0.000,1000,421,100,true,false,0.900,easy
sift_real,128,ADC,none,37,2.908e+05,1.096e+05,1.074e+05,0.000,1000,405,100,true,false,1.000,medium
sift_real,128,ADC,none,38,2.888e+05,1.096e+05,1.315e+05,0.000,1000,32,50,true,false,1.000,hard
sift_real,128,ADC,none,39,3.131e+05,1.096e+05,2.011e+05,0.000,1000,113,100,true,false,1.000,easy
sift_real,128,ADC,none,40,2.815e+05,1.096e+05,1.416e+05,0.000,1000,25,30,true,false,1.000,easy
sift_real,128,ADC,none,41,3.045e+05,1.096e+05,1.973e+05,0.000,1000,198,100,true,false,1.000,hard
sift_real,128,ADC,none,42,2.950e+05,1.096e+05,1.587e+05,0.000,1000,176,100,true,false,1.000,easy
sift_real,128,ADC,none,43,2.818e+05,1.096e+05,1.545e+05,0.000,1000,173,100,true,false,1.000,medium
sift_real,128,ADC,none,44,3.064e+05,1.096e+05,1.698e+05,0.000,1000,69,100,true,false,1.000,easy
sift_real,128,ADC,none,45,3.087e+05,1.096e+05,1.778e+05,0.000,1000,188,100,true,false,1.000,medium
sift_real,128,ADC,none,46,3.075e+05,1.096e+05,1.765e+05,0.000,1000,40,50,true,false,1.000,easy
sift_real,128,ADC,none,47,2.612e+05,1.096e+05,9.144e+04,0.000,1000,75,100,true,false,1.000,easy
sift_real,128,ADC,none,48,2.984e+05,1.096e+05,1.256e+05,0.000,1000,77,100,true,false,1.000,easy
sift_real,128,ADC,none,49,3.059e+05,1.096e+05,1.940e+05,0.000,1000,67,100,true,false,1.000,medium
sift_real,128,ADC,none,50,3.011e+05,1.096e+05,1.350e+05,0.000,1000,45,50,true,false,1.000,hard
sift_real,128,ADC,none,51,2.995e+05,1.096e+05,1.684e+05,0.000,1000,221,100,true,false,1.000,hard
sift_real,128,ADC,none,52,2.979e+05,1.096e+05,1.968e+05,0.000,1000,213,100,true,false,1.000,hard
sift_real,128,ADC,none,53,3.040e+05,1.096e+05,1.875e+05,0.000,1000,163,100,true,false,1.000,medium
sift_real,128,ADC,none,54,3.222e+05,1.096e+05,2.058e+05,0.000,14,43,20,true,true,0.600,hard
sift_real,128,ADC,none,55,3.184e+05,1.096e+05,1.773e+05,0.000,1000,45,50,true,false,1.000,easy
sift_real,128,ADC,none,56,2.890e+05,1.096e+05,2.027e+05,0.000,1000,190,100,true,false,1.000,easy
sift_real,128,ADC,none,57,2.949e+05,1.096e+05,1.803e+05,0.000,1000,64,100,true,false,1.000,medium
sift_real,128,ADC,none,58,2.729e+05,1.096e+05,1.013e+05,0.000,1000,73,100,true,false,1.000,easy
sift_real,128,ADC,none,59,3.366e+05,1.096e+05,2.095e+05,0.000,10,21,10,true,true,0.900,hard
sift_real,128,ADC,none,60,2.898e+05,1.096e+05,1.637e+05,0.000,1000,279,100,true,false,1.000,medium
sift_real,128,ADC,none,61,3.153e+05,1.096e+05,1.731e+05,0.000,1000,126,100,true,false,1.000,easy
sift_real,128,ADC,none,62,3.167e+05,1.096e+05,1.653e+05,0.000,1000,13,20,true,false,1.000,easy
sift_real,128,ADC,none,63,3.039e+05,1.096e+05,1.762e+05,0.000,1000,313,100,true,false,1.000,hard
sift_real,128,ADC,none,64,3.100e+05,1.096e+05,1.443e+05,0.000,1000,132,100,true,false,1.000,medium
sift_real,128,ADC,none,65,3.127e+05,1.096e+05,1.857e+05,0.000,1000,242,100,true,false,1.000,easy
sift_real,128,ADC,none,66,3.102e+05,1.096e+05,1.360e+05,0.000,1000,57,100,true,false,1.000,medium
sift_real,128,ADC,none,67,3.016e+05,1.096e+05,1.492e+05,0.000,1000,84,100,true,false,1.000,easy
sift_real,128,ADC,none,68,3.055e+05,1.096e+05,1.908e+05,0.000,1000,85,100,true,false,1.000,hard
sift_real,128,ADC,none,69,2.831e+05,1.096e+05,1.380e+05,0.000,1000,99,100,true,false,1.000,medium
sift_real,128,ADC,none,70,3.234e+05,1.096e+05,2.039e+05,0.000,12,65,20,true,true,0.600,medium
sift_real,128,ADC,none,71,3.024e+05,1.096e+05,1.426e+05,0.000,1000,92,100,true,false,1.000,medium
sift_real,128,ADC,none,72,2.838e+05,1.096e+05,1.209e+05,0.000,1000,685,100,true,false,1.000,easy
sift_real,128,ADC,none,73,2.901e+05,1.096e+05,1.195e+05,0.000,1000,40,50,true,false,1.000,hard
sift_real,128,ADC,none,74,2.873e+05,1.096e+05,1.945e+05,0.000,1000,71,100,true,false,1.000,hard
sift_real,128,ADC,none,75,2.733e+05,1.096e+05,1.040e+05,0.000,1000,34,50,true,false,1.000,easy
sift_real,128,ADC,none,76,3.107e+05,1.096e+05,1.538e+05,0.000,1000,232,100,true,false,1.000,hard
sift_real,128,ADC,none,77,2.835e+05,1.096e+05,1.030e+05,0.000,1000,470,100,true,false,1.000,medium
sift_real,128,ADC,none,78,2.998e+05,1.096e+05,1.732e+05,0.000,1000,98,100,true,false,1.000,medium
sift_real,128,ADC,none,79,3.274e+05,1.096e+05,1.904e+05,0.000,1000,18,20,true,false,1.000,medium
sift_real,128,ADC,bonferroni,0,2.872e+05,1.096e+05,1.364e+05,0.000,1000,98,100,true,false,1.000,medium
