dataset,dim,bound_estimator,correction,metadata_bytes_per_vec,global_sigma_norm,boundary_sigma_norm,cover90,cover95,cover99,cover95_boundary,rmse,mae,false_safe_rate,recall,mean_depth,p50_depth,p95_depth,p99_depth,max_fallback_rate,mean_oversample,best_fixed_depth,oracle_mean_depth,savings_vs_best_fixed,gap_to_oracle
sift_real,128,ADC,none,0,1.1151,1.1151,0.675,0.920,0.998,0.442,1.659e+05,1.609e+05,0.0375,0.9875,963.0,1000,1000,1000,0.0000,96.30,88,175.4,-9.927,787.6
sift_real,128,ADC,bonferroni,0,1.1151,1.1151,0.675,0.920,0.998,0.442,1.659e+05,1.609e+05,0.0000,0.9988,1000.0,1000,1000,1000,0.0000,100.00,90,175.4,-10.142,824.7
sift_real,128,HAMMING,none,0,0.5250,0.5250,0.963,0.988,0.999,0.992,4.105e+04,3.293e+04,0.0000,0.9988,999.9,1000,1000,1000,0.0000,99.99,90,175.4,-10.141,824.6
sift_real,128,HAMMING,bonferroni,0,0.5250,0.5250,0.963,0.988,0.999,0.992,4.105e+04,3.293e+04,0.0000,0.9988,1000.0,1000,1000,1000,0.0000,100.00,90,175.4,-10.142,824.6
sift_real,128,CORRECTED,none,8,0.2165,0.2126,0.708,0.784,0.888,0.679,3.537e+04,2.732e+04,0.0625,0.9800,887.3,998,1000,1000,0.0000,88.73,88,175.4,-9.126,711.9
sift_real,128,CORRECTED,bonferroni,8,0.2165,0.2126,0.708,0.784,0.888,0.679,3.537e+04,2.732e+04,0.0000,0.9988,971.8,998,1000,1000,0.0000,97.18,90,175.4,-9.828,796.4
isotropic,768,ADC,none,0,0.8225,0.8225,0.836,0.910,0.979,0.424,66.69,54.26,0.8750,0.6413,266.0,184,1000,1000,0.0000,26.60,92,625.6,-1.887,-359.6
isotropic,768,ADC,bonferroni,0,0.8225,0.8225,0.836,0.910,0.979,0.424,66.69,54.26,0.0375,0.9125,990.3,996,1000,1000,0.0000,99.03,100,625.6,-8.903,364.7
isotropic,768,HAMMING,none,0,0.9764,0.9764,0.882,0.940,0.988,0.755,71.09,57.04,0.0125,0.9112,985.5,1000,1000,1000,0.0000,98.55,100,625.6,-8.855,359.9
isotropic,768,HAMMING,bonferroni,0,0.9764,0.9764,0.882,0.940,0.988,0.755,71.09,57.04,0.0000,0.9150,999.8,1000,1000,1000,0.0000,99.98,100,625.6,-8.998,374.2
isotropic,768,CORRECTED,none,8,0.4830,0.4701,0.900,0.950,0.990,0.887,33.67,26.85,0.0125,0.9138,982.0,986,1000,1000,0.0000,98.20,100,625.6,-8.820,356.4
isotropic,768,CORRECTED,bonferroni,8,0.4830,0.4701,0.900,0.950,0.990,0.887,33.67,26.85,0.0000,0.9150,995.2,996,1000,1000,0.0000,99.52,100,625.6,-8.952,369.6
clustered,128,ADC,none,0,1.1581,1.1581,0.671,0.799,0.945,0.269,1555,1353,0.2750,0.4400,761.9,1000,1000,1000,0.0000,76.19,77,761.1,-8.847,0.9
clustered,128,ADC,bonferroni,0,1.1581,1.1581,0.671,0.799,0.945,0.269,1555,1353,0.0250,0.6275,998.0,1000,1000,1000,0.0000,99.80,90,761.1,-10.104,236.9
clustered,128,HAMMING,none,0,1.1929,1.1929,0.899,0.963,0.998,0.860,1058,867.4,0.0000,0.6287,999.9,1000,1000,1000,0.0000,99.99,90,761.1,-10.125,238.9
clustered,128,HAMMING,bonferroni,0,1.1929,1.1929,0.899,0.963,0.998,0.860,1058,867.4,0.0000,0.6287,1000.0,1000,1000,1000,0.0000,100.00,90,761.1,-10.127,239.0
clustered,128,CORRECTED,none,8,0.5426,0.5211,0.904,0.953,0.995,0.889,466.3,374.0,0.0000,0.6287,997.6,1000,1000,1000,0.0000,99.76,90,761.1,-10.100,236.5
clustered,128,CORRECTED,bonferroni,8,0.5426,0.5211,0.904,0.953,0.995,0.889,466.3,374.0,0.0000,0.6287,998.9,1000,1000,1000,0.0000,99.89,90,761.1,-10.114,237.9
