sweep,dataset,ranker,target,margin,cal_size,mode,sel_pool_mean,sel_pool_std,sel_depth_mean,sel_depth_std,mean_heldout_recall,worst_heldout_recall,sla_miss_rate,mean_total_cost,mean_raw_pool,mean_raw_depth,pool_ceiling,best_fixed_depth,oracle_mean_depth,savings_vs_bestfixed,savings_vs_fullpool,status
main,sift_real,ADC,0.90,0.010,100,conservative,220,40,220,40,0.9380,0.9150,0.00,2640,220,220,0.9977,150,212,-0.467,0.780,CALIBRATED
main,isotropic,ADC,0.90,0.010,100,conservative,1000,0,1000,0,0.9067,0.8933,0.40,12000,1000,1000,0.9067,1000,621,0.000,0.000,INCREASE_CANDIDATE_POOL
main,clustered,ADC,0.90,0.010,100,conservative,1000,0,1000,0,0.7680,0.7283,1.00,12000,1000,1000,0.7680,1000,725,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,sift_real,HAMMING,0.90,0.010,100,conservative,600,0,600,0,0.9553,0.9400,0.00,6600,600,600,0.9817,400,377,-0.500,0.400,CALIBRATED
main,isotropic,HAMMING,0.90,0.010,100,conservative,1000,0,1000,0,0.7390,0.7317,1.00,11000,1000,1000,0.7390,1000,712,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,clustered,HAMMING,0.90,0.010,100,conservative,1000,0,1000,0,0.5630,0.5167,1.00,11000,1000,1000,0.5630,1000,649,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,sift_real,CORRECTED,0.90,0.010,100,conservative,600,0,600,0,0.9200,0.8967,0.20,7800,600,600,0.9787,600,505,0.000,0.400,CALIBRATED
main,isotropic,CORRECTED,0.90,0.010,100,conservative,200,0,200,0,0.9250,0.9083,0.00,2600,200,200,0.9983,200,264,0.000,0.800,CALIBRATED
main,clustered,CORRECTED,0.90,0.010,100,conservative,840,80,840,80,0.9367,0.9067,0.00,10920,840,840,0.9570,800,485,-0.050,0.160,CALIBRATED
main,sift_real,ADC,0.95,0.010,100,conservative,400,0,400,0,0.9787,0.9733,0.00,4800,400,400,0.9977,300,212,-0.333,0.600,CALIBRATED
main,isotropic,ADC,0.95,0.010,100,conservative,1000,0,1000,0,0.9067,0.9000,1.00,12000,1000,1000,0.9067,1000,621,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,clustered,ADC,0.95,0.010,100,conservative,1000,0,1000,0,0.7680,0.7500,1.00,12000,1000,1000,0.7680,1000,725,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,sift_real,HAMMING,0.95,0.010,100,conservative,800,0,800,0,0.9717,0.9617,0.00,8800,800,800,0.9817,600,377,-0.333,0.200,CALIBRATED
main,isotropic,HAMMING,0.95,0.010,100,conservative,1000,0,1000,0,0.7390,0.7150,1.00,11000,1000,1000,0.7390,1000,712,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,clustered,HAMMING,0.95,0.010,100,conservative,1000,0,1000,0,0.5630,0.5367,1.00,11000,1000,1000,0.5630,1000,649,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,sift_real,CORRECTED,0.95,0.010,100,conservative,1000,0,1000,0,0.9787,0.9733,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
main,isotropic,CORRECTED,0.95,0.010,100,conservative,400,0,400,0,0.9793,0.9683,0.00,5200,400,400,0.9983,300,264,-0.333,0.600,CALIBRATED
main,clustered,CORRECTED,0.95,0.010,100,conservative,1000,0,1000,0,0.9570,0.9450,0.40,13000,1000,1000,0.9570,1000,485,0.000,0.000,INCREASE_CANDIDATE_POOL
main,sift_real,ADC,0.99,0.010,100,conservative,1000,0,1000,0,0.9977,0.9950,0.00,12000,1000,1000,0.9977,600,212,-0.667,0.000,INCREASE_CANDIDATE_POOL
main,isotropic,ADC,0.99,0.010,100,conservative,1000,0,1000,0,0.9067,0.8933,1.00,12000,1000,1000,0.9067,1000,621,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,clustered,ADC,0.99,0.010,100,conservative,1000,0,1000,0,0.7680,0.7467,1.00,12000,1000,1000,0.7680,1000,725,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,sift_real,HAMMING,0.99,0.010,100,conservative,1000,0,1000,0,0.9817,0.9767,1.00,11000,1000,1000,0.9817,1000,377,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,isotropic,HAMMING,0.99,0.010,100,conservative,1000,0,1000,0,0.7390,0.7300,1.00,11000,1000,1000,0.7390,1000,712,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,clustered,HAMMING,0.99,0.010,100,conservative,1000,0,1000,0,0.5630,0.5167,1.00,11000,1000,1000,0.5630,1000,649,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,sift_real,CORRECTED,0.99,0.010,100,conservative,1000,0,1000,0,0.9787,0.9750,1.00,13000,1000,1000,0.9787,1000,505,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
main,isotropic,CORRECTED,0.99,0.010,100,conservative,1000,0,1000,0,0.9983,0.9967,0.00,13000,1000,1000,0.9983,600,264,-0.667,0.000,INCREASE_CANDIDATE_POOL
main,clustered,CORRECTED,0.99,0.010,100,conservative,1000,0,1000,0,0.9570,0.9417,1.00,13000,1000,1000,0.9570,1000,485,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
margin,sift_real,ADC,0.95,0.000,100,conservative,400,0,400,0,0.9787,0.9733,0.00,4800,400,400,0.9977,300,212,-0.333,0.600,CALIBRATED
margin,isotropic,ADC,0.95,0.000,100,conservative,1000,0,1000,0,0.9067,0.9000,1.00,12000,1000,1000,0.9067,1000,621,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
margin,sift_real,CORRECTED,0.95,0.000,100,conservative,1000,0,1000,0,0.9787,0.9733,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
margin,isotropic,CORRECTED,0.95,0.000,100,conservative,340,49,340,49,0.9677,0.9550,0.00,4420,340,340,0.9983,300,264,-0.133,0.660,CALIBRATED
margin,sift_real,ADC,0.95,0.005,100,conservative,400,0,400,0,0.9787,0.9733,0.00,4800,400,400,0.9977,300,212,-0.333,0.600,CALIBRATED
margin,isotropic,ADC,0.95,0.005,100,conservative,1000,0,1000,0,0.9067,0.9000,1.00,12000,1000,1000,0.9067,1000,621,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
margin,sift_real,CORRECTED,0.95,0.005,100,conservative,1000,0,1000,0,0.9787,0.9733,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
margin,isotropic,CORRECTED,0.95,0.005,100,conservative,380,40,380,40,0.9740,0.9567,0.00,4940,380,380,0.9983,300,264,-0.267,0.620,CALIBRATED
margin,sift_real,ADC,0.95,0.010,100,conservative,400,0,400,0,0.9787,0.9733,0.00,4800,400,400,0.9977,300,212,-0.333,0.600,CALIBRATED
margin,isotropic,ADC,0.95,0.010,100,conservative,1000,0,1000,0,0.9067,0.9000,1.00,12000,1000,1000,0.9067,1000,621,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
margin,sift_real,CORRECTED,0.95,0.010,100,conservative,1000,0,1000,0,0.9787,0.9733,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
margin,isotropic,CORRECTED,0.95,0.010,100,conservative,400,0,400,0,0.9793,0.9683,0.00,5200,400,400,0.9983,300,264,-0.333,0.600,CALIBRATED
margin,sift_real,ADC,0.95,0.020,100,conservative,560,80,560,80,0.9910,0.9783,0.00,6720,560,560,0.9977,300,212,-0.867,0.440,CALIBRATED
margin,isotropic,ADC,0.95,0.020,100,conservative,1000,0,1000,0,0.9067,0.9000,1.00,12000,1000,1000,0.9067,1000,621,0.000,0.000,SLA_UNACHIEVABLE_AT_MAX_POOL
margin,sift_real,CORRECTED,0.95,0.020,100,conservative,1000,0,1000,0,0.9787,0.9733,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,INCREASE_CANDIDATE_POOL
margin,isotropic,CORRECTED,0.95,0.020,100,conservative,480,160,400,0,0.9793,0.9683,0.00,5440,480,400,0.9983,300,264,-0.395,0.582,CALIBRATED
calsize,sift_real,CORRECTED,0.95,0.010,25,conservative,1000,0,1000,0,0.9787,0.9750,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,INCREASE_CANDIDATE_POOL
calsize,isotropic,CORRECTED,0.95,0.010,25,conservative,760,80,760,80,0.9950,0.9867,0.00,9880,760,760,0.9983,300,264,-1.533,0.240,CALIBRATED
calsize,sift_real,CORRECTED,0.95,0.010,50,conservative,1000,0,1000,0,0.9787,0.9683,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
calsize,isotropic,CORRECTED,0.95,0.010,50,conservative,400,0,400,0,0.9793,0.9733,0.00,5200,400,400,0.9983,300,264,-0.333,0.600,CALIBRATED
calsize,sift_real,CORRECTED,0.95,0.010,100,conservative,1000,0,1000,0,0.9787,0.9733,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
calsize,isotropic,CORRECTED,0.95,0.010,100,conservative,400,0,400,0,0.9793,0.9683,0.00,5200,400,400,0.9983,300,264,-0.333,0.600,CALIBRATED
calsize,sift_real,CORRECTED,0.95,0.010,250,conservative,1000,0,1000,0,0.9787,0.9700,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
calsize,isotropic,CORRECTED,0.95,0.010,250,conservative,400,0,400,0,0.9793,0.9717,0.00,5200,400,400,0.9983,300,264,-0.333,0.600,CALIBRATED
calsize,sift_real,CORRECTED,0.95,0.010,500,conservative,1000,0,1000,0,0.9787,0.9583,0.00,13000,1000,1000,0.9787,800,505,-0.250,0.000,CALIBRATED
calsize,isotropic,CORRECTED,0.95,0.010,500,conservative,400,0,400,0,0.9793,0.9733,0.00,5200,400,400,0.9983,300,264,-0.333,0.600,CALIBRATED
