kernel,representation,bit_width,dimension,implementation,isa,access_pattern,cache_mode,query_prep_ns,score_ns,cycles_per_score_est,cycles_per_dim_est,scores_per_second_M,bytes_per_score
1bit_scalar,1bit,1,128,scalar,arm64-jit,sequential,hot_L1L2,208.0,575.22,2530.97,19.773,1.7,16
1bit_lut,1bit,1,128,lut,arm64-jit,sequential,hot_L1L2,19958.0,332.94,1464.93,11.445,3.0,16
1bit_scalar,1bit,1,128,scalar,arm64-jit,random,hot_L1L2,42.0,206.98,910.71,7.115,4.8,16
1bit_lut,1bit,1,128,lut,arm64-jit,random,hot_L1L2,11916.0,82.80,364.32,2.846,12.1,16
1bit_scalar,1bit,1,128,scalar,arm64-jit,sequential,large_LLC_pressure,0.0,183.91,809.21,6.322,5.4,16
1bit_lut,1bit,1,128,lut,arm64-jit,sequential,large_LLC_pressure,12458.0,75.54,332.40,2.597,13.2,16
1bit_scalar,1bit,1,128,scalar,arm64-jit,random,large_LLC_pressure,41.0,273.47,1203.27,9.401,3.7,16
1bit_lut,1bit,1,128,lut,arm64-jit,random,large_LLC_pressure,875.0,171.19,753.22,5.885,5.8,16
2bit_scalar,2bit,2,128,scalar,arm64-jit,sequential,hot_L1L2,250.0,183.80,808.70,6.318,5.4,32
2bit_lut,2bit,2,128,lut,arm64-jit,sequential,hot_L1L2,1041.0,76.87,338.24,2.643,13.0,32
2bit_scalar,2bit,2,128,scalar,arm64-jit,random,hot_L1L2,125.0,183.40,806.95,6.304,5.5,32
2bit_lut,2bit,2,128,lut,arm64-jit,random,hot_L1L2,1042.0,77.25,339.92,2.656,12.9,32
2bit_scalar,2bit,2,128,scalar,arm64-jit,sequential,large_LLC_pressure,42.0,183.34,806.68,6.302,5.5,32
2bit_lut,2bit,2,128,lut,arm64-jit,sequential,large_LLC_pressure,1166.0,76.73,337.59,2.637,13.0,32
2bit_scalar,2bit,2,128,scalar,arm64-jit,random,large_LLC_pressure,41.0,266.60,1173.04,9.164,3.8,32
2bit_lut,2bit,2,128,lut,arm64-jit,random,large_LLC_pressure,1125.0,172.87,760.63,5.942,5.8,32
4bit_scalar,4bit,4,128,scalar,arm64-jit,sequential,hot_L1L2,125.0,183.78,808.62,6.317,5.4,64
4bit_lut,4bit,4,128,lut,arm64-jit,sequential,hot_L1L2,1834.0,80.13,352.56,2.754,12.5,64
4bit_scalar,4bit,4,128,scalar,arm64-jit,random,hot_L1L2,42.0,184.00,809.61,6.325,5.4,64
4bit_lut,4bit,4,128,lut,arm64-jit,random,hot_L1L2,1667.0,79.02,347.69,2.716,12.7,64
4bit_scalar,4bit,4,128,scalar,arm64-jit,sequential,large_LLC_pressure,42.0,183.31,806.57,6.301,5.5,64
4bit_lut,4bit,4,128,lut,arm64-jit,sequential,large_LLC_pressure,1709.0,80.98,356.30,2.784,12.3,64
4bit_scalar,4bit,4,128,scalar,arm64-jit,random,large_LLC_pressure,458.0,272.35,1198.34,9.362,3.7,64
4bit_lut,4bit,4,128,lut,arm64-jit,random,large_LLC_pressure,1750.0,177.51,781.03,6.102,5.6,64
fp32,fp32,32,128,scalar,arm64-jit,sequential,hot_L1L2,209.0,68.33,300.66,2.349,14.6,512
fp32,fp32,32,128,scalar,arm64-jit,random,hot_L1L2,0.0,57.89,254.72,1.990,17.3,512
fp32,fp32,32,128,scalar,arm64-jit,sequential,large_LLC_pressure,42.0,57.19,251.64,1.966,17.5,512
fp32,fp32,32,128,scalar,arm64-jit,random,large_LLC_pressure,83.0,158.33,696.67,5.443,6.3,512
1bit_scalar,1bit,1,384,scalar,arm64-jit,sequential,hot_L1L2,167.0,561.05,2468.63,6.429,1.8,48
1bit_lut,1bit,1,384,lut,arm64-jit,sequential,hot_L1L2,1625.0,276.47,1216.48,3.168,3.6,48
1bit_scalar,1bit,1,384,scalar,arm64-jit,random,hot_L1L2,0.0,557.62,2453.51,6.389,1.8,48
1bit_lut,1bit,1,384,lut,arm64-jit,random,hot_L1L2,1709.0,278.09,1223.60,3.186,3.6,48
1bit_scalar,1bit,1,384,scalar,arm64-jit,sequential,large_LLC_pressure,42.0,553.82,2436.81,6.346,1.8,48
1bit_lut,1bit,1,384,lut,arm64-jit,sequential,large_LLC_pressure,1666.0,275.72,1213.15,3.159,3.6,48
1bit_scalar,1bit,1,384,scalar,arm64-jit,random,large_LLC_pressure,41.0,651.87,2868.25,7.469,1.5,48
1bit_lut,1bit,1,384,lut,arm64-jit,random,large_LLC_pressure,1750.0,384.02,1689.68,4.400,2.6,48
2bit_scalar,2bit,2,384,scalar,arm64-jit,sequential,hot_L1L2,83.0,561.81,2471.98,6.437,1.8,96
2bit_lut,2bit,2,384,lut,arm64-jit,sequential,hot_L1L2,2125.0,277.07,1219.10,3.175,3.6,96
2bit_scalar,2bit,2,384,scalar,arm64-jit,random,hot_L1L2,125.0,558.93,2459.31,6.404,1.8,96
2bit_lut,2bit,2,384,lut,arm64-jit,random,hot_L1L2,12417.0,278.65,1226.04,3.193,3.6,96
2bit_scalar,2bit,2,384,scalar,arm64-jit,sequential,large_LLC_pressure,0.0,555.58,2444.54,6.366,1.8,96
2bit_lut,2bit,2,384,lut,arm64-jit,sequential,large_LLC_pressure,2792.0,274.74,1208.86,3.148,3.6,96
2bit_scalar,2bit,2,384,scalar,arm64-jit,random,large_LLC_pressure,333.0,645.56,2840.45,7.397,1.5,96
2bit_lut,2bit,2,384,lut,arm64-jit,random,large_LLC_pressure,2291.0,384.95,1693.78,4.411,2.6,96
4bit_scalar,4bit,4,384,scalar,arm64-jit,sequential,hot_L1L2,209.0,560.80,2467.51,6.426,1.8,192
4bit_lut,4bit,4,384,lut,arm64-jit,sequential,hot_L1L2,17958.0,282.39,1242.50,3.236,3.5,192
4bit_scalar,4bit,4,384,scalar,arm64-jit,random,hot_L1L2,41.0,562.30,2474.14,6.443,1.8,192
4bit_lut,4bit,4,384,lut,arm64-jit,random,hot_L1L2,17166.0,280.71,1235.13,3.216,3.6,192
4bit_scalar,4bit,4,384,scalar,arm64-jit,sequential,large_LLC_pressure,42.0,555.96,2446.23,6.370,1.8,192
4bit_lut,4bit,4,384,lut,arm64-jit,sequential,large_LLC_pressure,4459.0,278.19,1224.05,3.188,3.6,192
4bit_scalar,4bit,4,384,scalar,arm64-jit,random,large_LLC_pressure,250.0,643.80,2832.72,7.377,1.6,192
4bit_lut,4bit,4,384,lut,arm64-jit,random,large_LLC_pressure,4541.0,384.55,1692.01,4.406,2.6,192
fp32,fp32,32,384,scalar,arm64-jit,sequential,hot_L1L2,42.0,218.37,960.83,2.502,4.6,1536
fp32,fp32,32,384,scalar,arm64-jit,random,hot_L1L2,41.0,218.69,962.24,2.506,4.6,1536
fp32,fp32,32,384,scalar,arm64-jit,sequential,large_LLC_pressure,250.0,216.89,954.31,2.485,4.6,1536
fp32,fp32,32,384,scalar,arm64-jit,random,large_LLC_pressure,83.0,339.86,1495.39,3.894,2.9,1536
1bit_scalar,1bit,1,768,scalar,arm64-jit,sequential,hot_L1L2,0.0,1102.46,4850.81,6.316,0.9,96
1bit_lut,1bit,1,768,lut,arm64-jit,sequential,hot_L1L2,3000.0,609.31,2680.94,3.491,1.6,96
1bit_scalar,1bit,1,768,scalar,arm64-jit,random,hot_L1L2,41.0,1101.01,4844.45,6.308,0.9,96
1bit_lut,1bit,1,768,lut,arm64-jit,random,hot_L1L2,3167.0,605.26,2663.15,3.468,1.7,96
1bit_scalar,1bit,1,768,scalar,arm64-jit,sequential,large_LLC_pressure,0.0,1101.39,4846.13,6.310,0.9,96
1bit_lut,1bit,1,768,lut,arm64-jit,sequential,large_LLC_pressure,3667.0,608.67,2678.14,3.487,1.6,96
1bit_scalar,1bit,1,768,scalar,arm64-jit,random,large_LLC_pressure,0.0,1197.62,5269.51,6.861,0.8,96
1bit_lut,1bit,1,768,lut,arm64-jit,random,large_LLC_pressure,3084.0,715.75,3149.29,4.101,1.4,96
2bit_scalar,2bit,2,768,scalar,arm64-jit,sequential,hot_L1L2,42.0,1104.61,4860.30,6.329,0.9,192
2bit_lut,2bit,2,768,lut,arm64-jit,sequential,hot_L1L2,4250.0,605.21,2662.94,3.467,1.7,192
2bit_scalar,2bit,2,768,scalar,arm64-jit,random,hot_L1L2,84.0,1101.34,4845.90,6.310,0.9,192
