dataset,representation,bit_width,kernel,isa,target_recall,heldout_recall,mean_nodes,mean_bytes_read,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,qps_1t,index_bytes_per_vector,build_ms_scalar,build_ms_opt,status
sift_real,1bit,1,1bit_lut,arm64-jit,0.95,0.9840,2047.2,32754,392.9,394.6,434.9,447.5,485.5,545.4,2545,16,2891,2784,CALIBRATED
sift_real,2bit,2,2bit_lut,arm64-jit,0.95,0.9755,583.0,18655,83.2,86.7,97.7,102.0,117.2,126.2,12023,32,2881,2833,CALIBRATED
sift_real,4bit,4,4bit_lut,arm64-jit,0.95,0.9980,536.9,34359,76.0,77.2,91.0,96.3,110.0,191.3,13157,64,2699,2691,CALIBRATED
sift_real,fp32,32,fp32,arm64-jit,0.95,0.9725,297.0,152078,31.3,31.6,38.6,39.8,43.8,51.6,31902,512,704,665,CALIBRATED
isotropic,1bit,1,1bit_lut,arm64-jit,0.95,,,,,,,,,,96,45976,46459,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,2bit,2,2bit_lut,arm64-jit,0.95,,,,,,,,,,192,39464,40457,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,4bit,4,4bit_lut,arm64-jit,0.95,0.9785,3740.9,1436512,2603.6,2600.9,2636.7,2648.4,2677.2,2719.8,384,384,28830,28607,CALIBRATED
isotropic,fp32,32,fp32,arm64-jit,0.95,0.9900,3779.6,11611066,2594.0,2588.5,2722.8,2777.4,2824.2,2852.8,385,3072,7470,7425,CALIBRATED
clustered,1bit,1,1bit_lut,arm64-jit,0.95,,,,,,,,,,96,12370,12579,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,2bit,2,2bit_lut,arm64-jit,0.95,,,,,,,,,,192,11253,11450,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,4bit,4,4bit_lut,arm64-jit,0.95,0.9845,1345.4,516646,1063.2,1055.2,1234.0,1301.5,1429.2,1475.6,941,384,10271,10442,CALIBRATED
clustered,fp32,32,fp32,arm64-jit,0.95,,,,,,,,,,3072,2694,2690,SLA_UNACHIEVABLE_AT_MAX_CONFIG
