dataset,representation,bit_width,kernel,isa,ef_search,rerank_depth,threads,qps,p50_us,p95_us,p99_us,scaling_eff,cache_mode
sift_real,1bit,1,1bit_lut,arm64-jit,500,300,1,2502,397.6,462.0,513.5,1.000,warm
sift_real,1bit,1,1bit_lut,arm64-jit,500,300,2,4344,456.6,544.8,614.1,0.853,warm
sift_real,1bit,1,1bit_lut,arm64-jit,500,300,4,6406,613.3,757.8,863.8,0.629,warm
sift_real,1bit,1,1bit_lut,arm64-jit,500,300,8,8480,836.7,1438.2,1522.8,0.417,warm
sift_real,2bit,2,2bit_lut,arm64-jit,50,50,1,12065,84.9,102.8,119.2,1.000,warm
sift_real,2bit,2,2bit_lut,arm64-jit,50,50,2,23305,87.5,104.8,146.9,0.969,warm
sift_real,2bit,2,2bit_lut,arm64-jit,50,50,4,38960,97.8,121.7,183.1,0.810,warm
sift_real,2bit,2,2bit_lut,arm64-jit,50,50,8,57570,126.8,213.2,229.9,0.599,warm
sift_real,4bit,4,4bit_lut,arm64-jit,50,20,1,13470,76.3,93.8,105.8,1.000,warm
sift_real,4bit,4,4bit_lut,arm64-jit,50,20,2,25940,78.7,95.6,122.9,0.986,warm
sift_real,4bit,4,4bit_lut,arm64-jit,50,20,4,45316,88.7,108.8,163.8,0.861,warm
sift_real,4bit,4,4bit_lut,arm64-jit,50,20,8,58268,117.4,193.5,218.6,0.554,warm
sift_real,fp32,32,fp32,arm64-jit,20,10,1,31778,31.3,41.9,51.7,1.000,warm
sift_real,fp32,32,fp32,arm64-jit,20,10,2,58463,34.0,45.0,51.1,0.916,warm
sift_real,fp32,32,fp32,arm64-jit,20,10,4,98649,39.9,52.1,67.5,0.773,warm
sift_real,fp32,32,fp32,arm64-jit,20,10,8,132355,56.3,86.9,98.6,0.519,warm
isotropic,4bit,4,4bit_lut,arm64-jit,500,30,1,392,2548.7,2609.8,2648.0,1.000,warm
isotropic,4bit,4,4bit_lut,arm64-jit,500,30,2,782,2552.4,2598.4,2620.6,1.019,warm
isotropic,4bit,4,4bit_lut,arm64-jit,500,30,4,1546,2579.8,2635.7,2693.7,1.006,warm
isotropic,4bit,4,4bit_lut,arm64-jit,500,30,8,2853,2796.0,3059.9,3121.1,0.929,warm
isotropic,fp32,32,fp32,arm64-jit,500,10,1,378,2654.5,2802.3,2853.3,1.000,warm
isotropic,fp32,32,fp32,arm64-jit,500,10,2,798,2456.8,2619.6,3866.2,1.035,warm
isotropic,fp32,32,fp32,arm64-jit,500,10,4,1613,2475.5,2536.3,2563.7,1.046,warm
isotropic,fp32,32,fp32,arm64-jit,500,10,8,3103,2583.5,2733.6,2887.1,1.006,warm
clustered,4bit,4,4bit_lut,arm64-jit,500,100,1,945,1050.3,1308.2,1427.6,1.000,warm
clustered,4bit,4,4bit_lut,arm64-jit,500,100,2,1866,1064.4,1327.5,1431.8,0.992,warm
clustered,4bit,4,4bit_lut,arm64-jit,500,100,4,3596,1103.3,1367.9,1471.1,0.956,warm
clustered,4bit,4,4bit_lut,arm64-jit,500,100,8,6102,1293.1,1601.8,1757.8,0.811,warm
