segment,ranker,ef_search,cand_ceiling,mean_nodes_visited,mean_dist_comps,recall@50rerank,sel_rerank_depth,heldout_recall,warm_p50_us,warm_p95_us,warm_p99_us,status
sift_real,ADC,20,0.5593,332.8,332.8,0.5593,20,0.5920,377.8,413.1,451.1,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,ADC,50,0.7693,596.1,596.1,0.7693,50,0.7900,99.6,131.6,156.8,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,ADC,100,0.8940,929.2,929.2,0.7793,100,0.9040,163.1,217.0,366.9,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,ADC,200,0.9560,1423.4,1423.4,0.7767,200,0.9630,272.8,403.1,554.0,INCREASE_EF_SEARCH
sift_real,ADC,500,0.9953,2372.0,2372.0,0.7767,500,0.9960,539.1,708.1,813.7,CALIBRATED
sift_real,HAMMING,20,0.4353,302.9,302.9,0.4353,20,0.4530,22.3,27.1,31.2,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,HAMMING,50,0.6213,542.0,542.0,0.6213,50,0.6370,51.7,66.2,71.3,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,HAMMING,100,0.7560,834.2,834.2,0.6173,100,0.7770,100.1,166.3,225.3,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,HAMMING,200,0.8687,1311.3,1311.3,0.6200,200,0.8870,212.8,314.0,395.3,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,HAMMING,500,0.9567,2277.0,2277.0,0.6193,500,0.9650,328.5,400.5,419.8,INCREASE_EF_SEARCH
sift_real,CORRECTED,20,0.2327,384.3,384.3,0.2327,20,0.2540,45.5,57.4,66.5,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,CORRECTED,50,0.3960,705.5,705.5,0.3960,50,0.4230,95.8,115.3,124.7,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,CORRECTED,100,0.5333,1141.1,1141.1,0.3820,100,0.5580,163.8,184.2,203.3,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,CORRECTED,200,0.7127,1743.0,1743.0,0.3813,200,0.7280,290.6,379.9,467.0,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,CORRECTED,500,0.9040,2758.2,2758.2,0.3800,500,0.9110,581.0,752.0,885.2,SLA_UNACHIEVABLE_AT_MAX_CONFIG
