segment,dim,bits,ef_search,candidate_ceiling,mean_nodes_visited,code_bytes_per_vec,bytes_read_per_query,warm_p50_us,warm_p99_us,build_ms,status
sift_real,128,1,20,0.6093,318.9,16,5101,130.0,361.3,2889,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,128,1,50,0.8100,558.5,16,8936,218.0,534.3,2889,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,128,1,100,0.9180,856.2,16,13699,278.4,544.6,2889,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,128,1,200,0.9720,1280.9,16,20493,365.8,668.2,2889,CALIBRATED
sift_real,128,1,500,0.9953,2027.1,16,32432,602.8,786.7,2889,CALIBRATED
sift_real,128,2,20,0.8553,311.4,32,9964,73.8,197.6,3034,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift_real,128,2,50,0.9793,554.6,32,17746,147.8,219.7,3034,CALIBRATED
sift_real,128,2,100,0.9980,855.3,32,27368,244.7,439.3,3034,CALIBRATED
sift_real,128,2,200,0.9993,1276.9,32,40859,363.8,464.4,3034,CALIBRATED
sift_real,128,2,500,1.0000,2003.5,32,64112,598.4,806.9,3034,CALIBRATED
sift_real,128,4,20,0.9740,282.9,64,18107,68.2,94.2,2801,CALIBRATED
sift_real,128,4,50,0.9987,510.1,64,32646,132.1,197.0,2801,CALIBRATED
sift_real,128,4,100,1.0000,791.0,64,50621,208.8,280.1,2801,CALIBRATED
sift_real,128,4,200,1.0000,1192.8,64,76339,333.9,462.1,2801,CALIBRATED
sift_real,128,4,500,1.0000,1912.0,64,122366,572.5,735.0,2801,CALIBRATED
sift_real,128,32,20,0.9733,279.1,512,142923,35.2,113.3,669,CALIBRATED
sift_real,128,32,50,0.9980,504.3,512,258218,66.2,111.9,669,CALIBRATED
sift_real,128,32,100,1.0000,783.8,512,401326,108.7,199.2,669,CALIBRATED
sift_real,128,32,200,1.0000,1185.1,512,606774,174.1,266.8,669,CALIBRATED
sift_real,128,32,500,1.0000,1902.7,512,974182,343.2,657.6,669,CALIBRATED
isotropic,768,1,20,0.1073,772.5,96,74163,926.7,1457.5,45404,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,1,50,0.2080,1517.8,96,145706,1865.2,2247.9,45404,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,1,100,0.3480,2413.0,96,231651,3020.0,3672.3,45404,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,1,200,0.5320,3691.0,96,354334,4608.3,6877.7,45404,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,1,500,0.7813,5281.5,96,507022,6569.1,7434.2,45404,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,2,20,0.1887,711.8,192,136659,850.7,1237.0,38552,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,2,50,0.3753,1326.8,192,254746,1613.5,1836.4,38552,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,2,100,0.5460,2099.1,192,403034,2636.0,4089.4,38552,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,2,200,0.7373,3107.8,192,596688,3940.5,5484.7,38552,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,2,500,0.9047,4460.4,192,856405,5727.7,7363.2,38552,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,4,20,0.5593,633.4,384,243215,751.1,941.9,27684,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,4,50,0.7553,1154.8,384,443427,1410.2,1606.5,27684,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,4,100,0.8693,1792.7,384,688378,2227.9,2324.7,27684,SLA_UNACHIEVABLE_AT_MAX_CONFIG
isotropic,768,4,200,0.9433,2599.1,384,998051,3244.4,3338.7,27684,SLA_UNACHIEVABLE_AT_MAX_CONFIG
