segment,representation,bits,rotation,ef_search,candidate_ceiling,mean_nodes_visited,recall@100rerank,warm_p50_us,warm_p99_us
sift_real,fp32,32,false,20,0.9760,297.6,0.9750,75.4,207.2
sift_real,fp32,32,false,50,0.9980,546.4,0.9990,141.2,298.7
sift_real,fp32,32,false,100,0.9987,858.9,1.0000,133.9,346.9
sift_real,fp32,32,false,200,1.0000,1322.4,1.0000,216.8,416.7
sift_real,fp32,32,false,500,1.0000,2241.4,1.0000,416.5,887.7
sift_real,1bit,1,false,20,0.5680,335.7,0.5850,37.5,72.7
sift_real,1bit,1,false,50,0.7853,600.4,0.7980,83.5,225.5
sift_real,1bit,1,false,100,0.8920,935.8,0.8970,144.2,223.7
sift_real,1bit,1,false,200,0.9600,1434.1,0.9010,216.2,345.7
sift_real,1bit,1,false,500,0.9940,2426.8,0.9000,448.5,966.2
sift_real,1bit_rot,1,true,20,0.6893,364.4,0.7130,36.0,58.4
sift_real,1bit_rot,1,true,50,0.8707,657.4,0.8930,85.8,224.8
sift_real,1bit_rot,1,true,100,0.9520,1009.9,0.9610,153.1,250.7
sift_real,1bit_rot,1,true,200,0.9847,1517.0,0.9610,231.2,347.8
sift_real,1bit_rot,1,true,500,0.9973,2468.2,0.9620,387.0,563.9
sift_real,2bit,2,false,20,0.8473,326.5,0.8630,32.0,55.0
sift_real,2bit,2,false,50,0.9740,591.2,0.9770,76.0,118.2
sift_real,2bit,2,false,100,0.9947,926.2,0.9950,135.2,233.5
sift_real,2bit,2,false,200,0.9993,1411.3,0.9950,211.7,340.2
sift_real,2bit,2,false,500,1.0000,2355.2,0.9960,406.8,579.8
sift_real,2bit_rot,2,true,20,0.6947,371.8,0.7120,35.7,51.6
sift_real,2bit_rot,2,true,50,0.8900,666.0,0.8990,78.9,106.5
sift_real,2bit_rot,2,true,100,0.9640,1031.1,0.9710,142.0,219.9
sift_real,2bit_rot,2,true,200,0.9927,1553.0,0.9820,223.5,428.8
