segment,dim,representation,bits,rotation,code_bytes_per_vec,flat_topk_recall,rmse_vs_fp32
sift_real,128,fp32,32,false,512,1.0000,0.000
sift_real,128,1bit,1,false,16,0.4360,1.694e+05
sift_real,128,1bit_rot,1,true,16,0.5200,1.474e+06
sift_real,128,2bit,2,false,32,0.6620,2.802e+04
sift_real,128,2bit_rot,2,true,32,0.5300,6.471e+04
sift_real,128,4bit,4,false,64,0.9240,4152
sift_real,128,4bit_rot,4,true,64,0.8753,5494
isotropic,768,fp32,32,false,3072,1.0000,0.000
isotropic,768,1bit,1,false,96,0.1367,1.043e+04
isotropic,768,1bit_rot,1,true,96,0.0093,1.073e+04
isotropic,768,2bit,2,false,192,0.2100,582.6
isotropic,768,2bit_rot,2,true,192,0.0287,8354
isotropic,768,4bit,4,false,384,0.7600,20.68
isotropic,768,4bit_rot,4,true,384,0.3820,154.0
clustered,128,fp32,32,false,512,1.0000,0.000
clustered,128,1bit,1,false,16,0.0300,2.418e+04
clustered,128,1bit_rot,1,true,16,0.1527,6184
clustered,128,2bit,2,false,32,0.0860,1682
clustered,128,2bit_rot,2,true,32,0.0820,4172
clustered,128,4bit,4,false,64,0.5167,126.9
clustered,128,4bit_rot,4,true,64,0.3260,269.3
