dataset,N,representation,bit_width,kernel,isa,ef_search,rerank_depth,threads,qps,p50_us,p95_us,p99_us,scaling_eff,cache_state
sift,6000,fp32,32,fp32,arm64,20,10,1,30593,31.1,41.3,50.5,1.000,fits_L2
sift,6000,fp32,32,fp32,arm64,20,10,2,59426,32.7,42.9,59.0,0.971,fits_L2
sift,6000,fp32,32,fp32,arm64,20,10,4,105737,35.7,46.8,91.9,0.864,fits_L2
sift,6000,fp32,32,fp32,arm64,20,10,8,132173,47.0,62.5,77.5,0.540,fits_L2
sift,6000,fp32,32,fp32,arm64,20,10,16,203950,61.8,79.1,93.3,0.417,fits_L2
sift,6000,1bit,1,1bit_lut,arm64,500,300,1,2320,428.0,508.0,571.2,1.000,fits_L2
sift,6000,1bit,1,1bit_lut,arm64,500,300,2,4577,427.5,523.1,616.2,0.986,fits_L2
sift,6000,1bit,1,1bit_lut,arm64,500,300,4,7029,561.5,684.5,829.6,0.757,fits_L2
sift,6000,1bit,1,1bit_lut,arm64,500,300,8,10030,775.5,1013.1,1098.6,0.540,fits_L2
sift,6000,1bit,1,1bit_lut,arm64,500,300,16,13995,1043.5,1682.8,3584.9,0.377,fits_L2
sift,6000,2bit,2,2bit_lut,arm64,50,50,1,12364,82.8,99.4,121.8,1.000,fits_L2
sift,6000,2bit,2,2bit_lut,arm64,50,50,2,24189,82.7,99.8,131.1,0.978,fits_L2
sift,6000,2bit,2,2bit_lut,arm64,50,50,4,45816,87.9,104.3,153.8,0.926,fits_L2
sift,6000,2bit,2,2bit_lut,arm64,50,50,8,71444,108.3,150.1,167.2,0.722,fits_L2
sift,6000,2bit,2,2bit_lut,arm64,50,50,16,92721,155.4,211.0,292.7,0.469,fits_L2
sift,6000,4bit,4,4bit_lut,arm64,50,20,1,13845,74.7,90.2,95.5,1.000,fits_L2
sift,6000,4bit,4,4bit_lut,arm64,50,20,2,27118,75.9,91.9,98.8,0.979,fits_L2
sift,6000,4bit,4,4bit_lut,arm64,50,20,4,49271,81.0,99.7,165.5,0.890,fits_L2
sift,6000,4bit,4,4bit_lut,arm64,50,20,8,72544,103.1,148.4,166.1,0.655,fits_L2
sift,6000,4bit,4,4bit_lut,arm64,50,20,16,97121,147.4,203.4,310.0,0.438,fits_L2
sift,25000,fp32,32,fp32,arm64,50,10,1,11053,90.9,120.1,138.5,1.000,fits_SLC_est
sift,25000,2bit,2,2bit_lut,arm64,100,100,1,5104,202.2,242.1,266.1,1.000,fits_SLC_est
sift,25000,4bit,4,4bit_lut,arm64,50,20,1,9936,103.8,128.7,150.7,1.000,fits_SLC_est
sift,100000,fp32,32,fp32,arm64,50,10,1,5645,181.4,229.5,268.6,1.000,exceeds_SLC_est
sift,100000,2bit,2,2bit_lut,arm64,200,200,1,2316,445.1,533.7,576.0,1.000,exceeds_SLC_est
sift,100000,4bit,4,4bit_lut,arm64,50,20,1,5944,172.5,223.0,258.5,1.000,exceeds_SLC_est
sift,250000,fp32,32,fp32,arm64,50,10,1,4138,244.2,312.8,370.9,1.000,exceeds_SLC_est
sift,250000,fp32,32,fp32,arm64,50,10,2,8578,238.3,301.8,376.4,1.037,exceeds_SLC_est
sift,250000,fp32,32,fp32,arm64,50,10,4,15784,258.3,334.5,426.5,0.954,exceeds_SLC_est
sift,250000,fp32,32,fp32,arm64,50,10,8,24120,333.6,430.8,479.8,0.729,exceeds_SLC_est
sift,250000,fp32,32,fp32,arm64,50,10,16,28131,516.2,775.0,2179.3,0.425,exceeds_SLC_est
sift,250000,2bit,2,2bit_lut,arm64,500,300,1,762,1329.2,1690.8,1860.3,1.000,exceeds_SLC_est
sift,250000,2bit,2,2bit_lut,arm64,500,300,2,1585,1284.2,1637.9,1762.2,1.039,exceeds_SLC_est
sift,250000,2bit,2,2bit_lut,arm64,500,300,4,3215,1256.6,1603.7,1760.1,1.054,exceeds_SLC_est
sift,250000,2bit,2,2bit_lut,arm64,500,300,8,5368,1477.3,1931.1,2095.1,0.880,exceeds_SLC_est
sift,250000,2bit,2,2bit_lut,arm64,500,300,16,6170,2294.9,4647.6,8908.5,0.506,exceeds_SLC_est
sift,250000,4bit,4,4bit_lut,arm64,100,20,1,2606,394.3,505.5,578.0,1.000,exceeds_SLC_est
sift,250000,4bit,4,4bit_lut,arm64,100,20,2,5030,395.4,521.5,610.5,0.965,exceeds_SLC_est
sift,250000,4bit,4,4bit_lut,arm64,100,20,4,10006,406.2,530.5,649.3,0.960,exceeds_SLC_est
sift,250000,4bit,4,4bit_lut,arm64,100,20,8,15752,502.4,681.3,739.8,0.755,exceeds_SLC_est
sift,250000,4bit,4,4bit_lut,arm64,100,20,16,17558,828.0,1346.6,3051.3,0.421,exceeds_SLC_est
