dataset,dim,N,representation,bit_width,ef_search,candidate_ceiling_recall10
isotropic768,768,8000,1bit,1,20,0.0900
isotropic768,768,8000,1bit,1,50,0.1836
isotropic768,768,8000,1bit,1,100,0.3212
isotropic768,768,8000,1bit,1,200,0.4948
isotropic768,768,8000,1bit,1,500,0.7288
isotropic768,768,8000,1bit,1,800,0.8328
isotropic768,768,8000,2bit,2,20,0.1624
isotropic768,768,8000,2bit,2,50,0.3196
isotropic768,768,8000,2bit,2,100,0.4772
isotropic768,768,8000,2bit,2,200,0.6628
isotropic768,768,8000,2bit,2,500,0.8620
isotropic768,768,8000,2bit,2,800,0.9356
isotropic768,768,8000,4bit,4,20,0.5096
isotropic768,768,8000,4bit,4,50,0.7124
isotropic768,768,8000,4bit,4,100,0.8424
isotropic768,768,8000,4bit,4,200,0.9184
isotropic768,768,8000,4bit,4,500,0.9712
isotropic768,768,8000,4bit,4,800,0.9872
isotropic768,768,8000,fp32,32,20,0.5260
isotropic768,768,8000,fp32,32,50,0.7228
isotropic768,768,8000,fp32,32,100,0.8540
isotropic768,768,8000,fp32,32,200,0.9264
isotropic768,768,8000,fp32,32,500,0.9796
isotropic768,768,8000,fp32,32,800,0.9920
