dataset,dim,N,representation,bit_width,ef_search,candidate_ceiling_recall10
manifold768,768,8000,1bit,1,20,0.0504
manifold768,768,8000,1bit,1,50,0.1236
manifold768,768,8000,1bit,1,100,0.2064
manifold768,768,8000,1bit,1,200,0.3104
manifold768,768,8000,1bit,1,500,0.4972
manifold768,768,8000,1bit,1,800,0.6128
manifold768,768,8000,2bit,2,20,0.4404
manifold768,768,8000,2bit,2,50,0.6872
manifold768,768,8000,2bit,2,100,0.8460
manifold768,768,8000,2bit,2,200,0.9556
manifold768,768,8000,2bit,2,500,0.9984
manifold768,768,8000,2bit,2,800,1.0000
manifold768,768,8000,4bit,4,20,0.6416
manifold768,768,8000,4bit,4,50,0.8368
manifold768,768,8000,4bit,4,100,0.9304
manifold768,768,8000,4bit,4,200,0.9904
manifold768,768,8000,4bit,4,500,1.0000
manifold768,768,8000,4bit,4,800,1.0000
manifold768,768,8000,fp32,32,20,0.6480
manifold768,768,8000,fp32,32,50,0.8276
manifold768,768,8000,fp32,32,100,0.9260
manifold768,768,8000,fp32,32,200,0.9876
manifold768,768,8000,fp32,32,500,1.0000
manifold768,768,8000,fp32,32,800,1.0000
