dataset,dim,N,representation,bit_width,kernel,target_recall,ef_search,rerank_depth,heldout_recall,mean_nodes,code_bytes_read,code_bytes_per_vec,p50_us,p99_us,qps_1t,qps_8t,p99_8t,status
manifold768,768,8000,1bit,1,1bit_lut,0.90,,,,,,96,,,,,SLA_UNACHIEVABLE
manifold768,768,8000,1bit,1,1bit_lut,0.95,,,,,,96,,,,,SLA_UNACHIEVABLE
manifold768,768,8000,1bit,1,1bit_lut,0.97,,,,,,96,,,,,SLA_UNACHIEVABLE
manifold768,768,8000,2bit,2,2bit_lut,0.90,200,200,0.9550,1549.6,297517,192,816.8,1003.9,1229,0,0.0,CALIBRATED
manifold768,768,8000,2bit,2,2bit_lut,0.95,500,200,0.9825,2702.0,518776,192,1350.2,1630.8,732,4770,2134.3,CALIBRATED
manifold768,768,8000,2bit,2,2bit_lut,0.97,500,200,0.9825,2702.0,518776,192,1354.0,1609.6,731,0,0.0,CALIBRATED
manifold768,768,8000,4bit,4,4bit_lut,0.90,100,500,0.9315,948.3,364143,384,506.6,634.1,2018,0,0.0,CALIBRATED
manifold768,768,8000,4bit,4,4bit_lut,0.95,200,20,0.9830,1417.7,544395,384,686.7,865.5,1488,10066,1109.0,CALIBRATED
manifold768,768,8000,4bit,4,4bit_lut,0.97,200,20,0.9830,1417.7,544395,384,691.0,857.0,1487,0,0.0,CALIBRATED
manifold768,768,8000,fp32,32,fp32,0.90,100,10,0.9250,939.4,2885960,3072,598.2,746.3,1739,0,0.0,CALIBRATED
manifold768,768,8000,fp32,32,fp32,0.95,200,10,0.9880,1406.1,4319416,3072,896.0,1137.8,1142,9583,1160.5,CALIBRATED
manifold768,768,8000,fp32,32,fp32,0.97,200,10,0.9880,1406.1,4319416,3072,894.3,1132.8,1143,0,0.0,CALIBRATED
