kernel,bit_width,dimension,implementation,isa,access_pattern,query_prep_ns,score_ns,cycles_per_dim_est,scores_per_second_M,speedup_vs_scalar,bytes_per_score
scalar,1,128,scalar,arm64,sequential,0,189.63,6.519,5.3,1.00,16
lut,1,128,lut,arm64,sequential,1792,77.42,2.661,12.9,2.45,16
dot_autovec,1,128,autovec_superword,arm64,sequential,7417,233.59,8.030,4.3,0.81,16
scalar,1,128,scalar,arm64,random,0,212.26,7.296,4.7,1.00,16
lut,1,128,lut,arm64,random,2042,94.89,3.262,10.5,2.24,16
dot_autovec,1,128,autovec_superword,arm64,random,6958,266.97,9.177,3.7,0.80,16
scalar,2,128,scalar,arm64,sequential,0,191.23,6.573,5.2,1.00,32
lut,2,128,lut,arm64,sequential,2750,78.22,2.689,12.8,2.44,32
dot_autovec,2,128,autovec_superword,arm64,sequential,8084,79.26,2.724,12.6,2.41,32
scalar,2,128,scalar,arm64,random,0,217.78,7.486,4.6,1.00,32
lut,2,128,lut,arm64,random,2709,104.49,3.592,9.6,2.08,32
dot_autovec,2,128,autovec_superword,arm64,random,7208,147.84,5.082,6.8,1.47,32
scalar,4,128,scalar,arm64,sequential,0,192.73,6.625,5.2,1.00,64
lut,4,128,lut,arm64,sequential,8292,75.64,2.600,13.2,2.55,64
dot_autovec,4,128,autovec_superword,arm64,sequential,6917,81.35,2.796,12.3,2.37,64
scalar,4,128,scalar,arm64,random,0,248.13,8.529,4.0,1.00,64
lut,4,128,lut,arm64,random,8209,132.51,4.555,7.5,1.87,64
dot_autovec,4,128,autovec_superword,arm64,random,8667,177.91,6.116,5.6,1.39,64
scalar,32,128,scalar,arm64,sequential,0,61.29,2.107,16.3,1.00,512
scalar,32,128,scalar,arm64,random,0,171.44,5.893,5.8,1.00,512
scalar,1,384,scalar,arm64,sequential,0,623.07,7.139,1.6,1.00,48
lut,1,384,lut,arm64,sequential,4667,281.53,3.226,3.6,2.21,48
dot_autovec,1,384,autovec_superword,arm64,sequential,16042,709.13,8.125,1.4,0.88,48
scalar,1,384,scalar,arm64,random,0,640.60,7.340,1.6,1.00,48
lut,1,384,lut,arm64,random,5042,307.72,3.526,3.2,2.08,48
dot_autovec,1,384,autovec_superword,arm64,random,16875,736.87,8.443,1.4,0.87,48
scalar,2,384,scalar,arm64,sequential,0,609.35,6.982,1.6,1.00,96
lut,2,384,lut,arm64,sequential,6708,281.19,3.222,3.6,2.17,96
dot_autovec,2,384,autovec_superword,arm64,sequential,16292,239.77,2.747,4.2,2.54,96
scalar,2,384,scalar,arm64,random,0,641.75,7.353,1.6,1.00,96
lut,2,384,lut,arm64,random,7833,314.85,3.608,3.2,2.04,96
dot_autovec,2,384,autovec_superword,arm64,random,17375,294.64,3.376,3.4,2.18,96
scalar,4,384,scalar,arm64,sequential,0,612.57,7.019,1.6,1.00,192
lut,4,384,lut,arm64,sequential,26583,275.55,3.157,3.6,2.22,192
dot_autovec,4,384,autovec_superword,arm64,sequential,17375,245.43,2.812,4.1,2.50,192
