dataset,N,dim,representation,bit_width,kernel,isa,ef_search,rerank_depth,heldout_recall,mean_nodes,dist_comps,code_bytes_per_vec,code_bytes_read_per_query,total_bytes_touched_per_query,fp32_workingset_MB,cache_state,p50_us,p90_us,p95_us,p99_us,max_us,qps_1t,build_ms,vectors_per_sec,index_code_MB,status
sift,6000,128,fp32,32,fp32,arm64,20,10,0.9725,295.4,295,512,151237,175262,3.1,fits_L2,32.0,39.6,40.8,47.2,70.6,31143,930,6452,3.1,CALIBRATED
sift,6000,128,1bit,1,1bit_lut,arm64,500,300,0.9840,2039.5,2040,16,32632,316762,3.1,fits_L2,441.7,505.3,528.6,639.1,726.0,2237,3291,1823,0.1,CALIBRATED
sift,6000,128,2bit,2,2bit_lut,arm64,50,50,0.9755,579.4,579,32,18541,81222,3.1,fits_L2,84.0,95.5,101.0,106.6,118.0,12318,3212,1868,0.2,CALIBRATED
sift,6000,128,4bit,4,4bit_lut,arm64,50,20,0.9980,532.9,533,64,34105,78451,3.1,fits_L2,76.3,89.0,92.2,97.4,103.7,13543,3036,1976,0.4,CALIBRATED
sift,25000,128,fp32,32,fp32,arm64,50,10,0.9970,693.5,693,512,355046,404547,12.8,fits_SLC_est,90.8,110.6,116.2,122.5,132.8,11205,3986,6272,12.8,CALIBRATED
sift,25000,128,2bit,2,2bit_lut,arm64,100,100,0.9825,1208.1,1208,32,38659,167177,12.8,fits_SLC_est,202.3,231.1,239.5,267.9,281.7,5101,18694,1337,0.8,CALIBRATED
sift,25000,128,4bit,4,4bit_lut,arm64,50,20,0.9900,699.2,699,64,44749,99738,12.8,fits_SLC_est,105.3,124.3,130.9,152.3,177.0,9837,18207,1373,1.6,CALIBRATED
sift,100000,128,fp32,32,fp32,arm64,50,10,0.9765,830.4,830,512,425172,483439,51.2,exceeds_SLC_est,183.7,223.8,244.6,269.8,279.3,5614,24455,4089,51.2,CALIBRATED
sift,100000,128,1bit,1,1bit_lut,arm64,,,,,,16,,,51.2,exceeds_SLC_est,,,,,,,86324,1158,1.6,SLA_UNACHIEVABLE_AT_MAX_CONFIG
sift,100000,128,2bit,2,2bit_lut,arm64,200,200,0.9860,2394.5,2395,32,76625,332275,51.2,exceeds_SLC_est,446.2,512.8,544.8,611.8,644.4,2320,89001,1124,3.2,CALIBRATED
sift,100000,128,4bit,4,4bit_lut,arm64,50,20,0.9805,841.1,841,64,53831,117903,51.2,exceeds_SLC_est,177.9,213.9,229.3,266.8,277.6,5773,88723,1127,6.4,CALIBRATED
sift,250000,128,fp32,32,fp32,arm64,50,10,0.9720,927.7,928,512,474995,539490,128.0,exceeds_SLC_est,234.5,283.8,299.9,340.4,405.5,4320,81803,3056,128.0,CALIBRATED
sift,250000,128,2bit,2,2bit_lut,arm64,500,300,0.9870,5473.5,5474,32,175152,679056,128.0,exceeds_SLC_est,1320.5,1568.5,1639.0,1770.6,1891.4,770,260388,960,8.0,CALIBRATED
sift,250000,128,4bit,4,4bit_lut,arm64,100,20,0.9795,1573.4,1573,64,100699,211638,128.0,exceeds_SLC_est,395.5,480.0,503.8,536.2,597.8,2584,257696,970,16.0,CALIBRATED
